A;SECTION A HUMAN NECESSITIES
A01B0073000000;Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width (arrangements of lifting devices for soil working implements A01B0063000000. vehicles adapted for load transportation or to transport, to carry or to comprise special loads or objects B60P. motor vehicles, trailers B62D)
A01B0073020000;Folding frames
A01B0073040000;foldable about a horizontal axis
A01B0073060000;foldable about a vertical axis
A01B0075000000;Carriers for supporting persons when working in the field, e.g. while thinning beet
A01B0076000000;Parts, details or accessories of agricultural machines or implements, not provided for in groups . A01B0051000000-A01B0075000000
A01B0077000000;Machines for lifting and treating soil (biocides, pest repellants or attractants, plant growth regulators A01N0025000000-A01N0065000000. fertilisers C05. soil-conditioning or soil-stabilising materials C09K0017000000)
A01B0079000000;Methods for working soil (essentially requiring the use of particular machines, see the relevant groups for the machines)..
A01B0079020000;combined with other agricultural processing, e.g. fertilising, planting
A01C;PLANTING. SOWING. FERTILISING (combined with general working of soil A01B0049040000. parts, details or accessories of agricultural machines or implements, in general A01B0051000000-A01B0075000000)
A01C0001000000;Apparatus, or methods of use thereof, for testing or treating seed, roots, or the like, prior to sowing or planting (chemicals therefor A01N0025000000-A01N0065000000)
A01C0001020000;Germinating apparatus. Determining germination capacity of seeds or the like (germinating in preparation of malt C12C0001027000)
A01C0001040000;Arranging seed on carriers, e.g. on tapes, on cords
A01C0001060000;Coating or dressing seed
A01C0001080000;Immunising seed
A01C0003000000;Treating manure. Manuring (dung forks A01D0009000000. organic fertilisers from waste or refuse C05F)
A01C0003020000;Storage places for manure, e.g. cisterns for liquid manure. Installations for fermenting manure (sewerage structures E03F0005000000. silos, bunkers E04H0007220000)
A01C0003040000;Manure loaders (loaders in general B65G)
A01C0003060000;Manure distributors, e.g. dung distributors
A01C0003080000;for manure already laying on the soil
A01C0005000000;Making or covering furrows or holes for sowing, planting, or manuring (ploughs for making ridges A01B0013020000)
A01C0005020000;Hand tools for making holes for sowing, planting or manuring (transplanting devices for trees A01G0023020000)
A01C0005040000;Machines for making or covering holes for sowing or planting
A01C0005060000;Machines for making or covering drills or furrows for sowing or planting
A01C0005080000;Machines for both manuring and sowing or both manuring and planting
A01C0007000000;Sowing (arrangements for driving working parts A01C0019000000)
A01C0007020000;Hand sowing implements
A01C0007040000;Single-grain seeders with or without suction devices
A01C0007060000;Seeders combined with fertilising apparatus (combinations with soil working tools A01B0049040000)
A01C0007080000;Broadcast seeders. Seeders depositing seeds in rows
A01C0007100000;Devices for adjusting the seed-box
A01C0007120000;Seeders with feeding-wheels
A01C0007140000;Seeders with spoon or bucket wheels
A01C0007160000;Seeders with other distributing devices, e.g. brushes, discs, screws, slides (with endless chains A01C0015180000)
A01C0007180000;Machines for depositing quantities of seed at intervals
A01C0007200000;Parts of seeders for conducting and depositing seed
A01C0009000000;Potato planters (combinations with soil-working A01B0049040000)
A01C0009020000;with conveyor belts
A01C0009040000;with bucket wheels
A01C0009060000;with piercing or grasping devices
A01C0009080000;with other distributing devices, e.g. flaps, screws, horizontal turning plates
A01C0011000000;Transplanting machines (carriers for supporting persons A01B0075000000. transplanting devices for trees A01G0023020000)
A01C0011020000;for seedlings
A01C0011040000;for deeper setting or shifting of plants
A01C0013000000;Machines or apparatus for consolidating soil around plants
A01C0014000000;Methods or apparatus for planting not provided for in other groups of this subclass
A01C0015000000;Fertiliser distributors (A01C0007060000 takes precedence.with centrifugal wheels A01C0017000000. arrangements for driving working parts A01C0019000000. sand, gravel or salt spreaders for roads E01C0019200000)
A01C0015020000;for hand use
A01C0015040000;using blowers
A01C0015060000;with distributing slots
A01C0015080000;with pushers or stirrers in the slots
A01C0015100000;with reciprocating pushers
A01C0015120000;with movable parts of the receptacle
A01C0015140000;with means for lifting out the fertiliser
A01C0015160000;with means for pushing out the fertiliser, e.g. by a roller
A01C0015180000;with endless chains
A01C0017000000;Fertilisers or seeders with centrifugal wheels (mechanical throwing machines for articles or solid bulk materials, in general B65G0031000000. sand, gravel, or salt spreaders E01C0019200000)
A01C0019000000;Arrangements for driving working parts of fertilisers or seeders
A01C0019020000;by a motor
A01C0019040000;by a ground-engaging wheel
A01C0021000000;Methods of fertilising (fertilisers C05. soil-conditioning or soil-stabilising materials C09K0017000000)
A01C0023000000;Distributing devices specially adapted for liquid manure or other fertilising liquid, including ammonia, e.g. transport tanks, sprinkling wagons (watering fields in general A01G0025000000. spraying or applying liquids or other fluent materials in general B05)
A01C0023020000;Special arrangements for delivering the liquid directly into the soil
A01C0023040000;Distributing under pressure. Distributing mud. Adaptation of watering systems for fertilising-liquids
A01D;HARVESTING. MOWING
A01D0001000000;Hand implements
A01D0001000000;Hand-cutting implements for harvesting (devices for picking apples or like fruits A01D0046240000. hedge trimming means A01G0003040000)
A01D0001020000;Scythes
A01D0001040000;Sickles
A01D0001060000;Knives
A01D0001080000;Attaching means for blades
A01D0001100000;with fastening by means of eccentric levers
A01D0001120000;with blades adjustable in several ways
A01D0001140000;Handles. Accessories, e.g. scythe baskets, safety devices
A01D0003000000;Non-abrasive sharpening devices for scythes, sickles, or the like
A01D0003020000;with percussive tools
A01D0003040000;with pressing jaws
A01D0003060000;with pressing rollers or pressing discs
A01D0003080000;Details, e.g. scythe anvils, scythe guides
A01D0005000000;Containers for whetstones for use during harvesting
A01D0007000000;Rakes (mowers convertible to rakes or capable of raking A01D0042020000. mowers combined with rakes A01D0043020000)
A01D0007020000;with tines rigidly connected to the rake-bar
A01D0007040000;with adjustable rake-bar
A01D0007060000;with tines specially shaped or attached
A01D0007080000;with exchangeable tines
A01D0007100000;combined with strippers, grippers, or the like
A01D0009000000;Forks
A01D0009020000;with tines rigidly connected to the handle
A01D0009040000;with exchangeable tines
A01D0009060000;combined with strippers, grippers, or the like
A01D0011000000;Other hand implements (devices for picking apples or like fruits A01D0046240000)
A01D0011020000;for lifting or cropping beet, potatoes, or other root crops
A01D0011040000;for handling root crops, e.g. shovels, fork-like shovels
A01D0011060000;Combined implements, e.g. fork and rake
A01D0013000000;Machines for harvesting root crops
A01D0013000000;Diggers, e.g. potato ploughs
A01D0015000000;Digging machines with sieve graters but without conveying mechanisms
A01D0015020000;with rigid grates
A01D0015040000;with moving or vibrating grates
A01D0017000000;Digging machines with sieving and conveying mechanisms
A01D0017020000;with conveyors arranged above the sieving device
A01D0017040000;with conveyors arranged below the sieving device
A01D0017060000;with rollers or disc screens
A01D0017080000;with shaker type screens
A01D0017100000;with smooth conveyor belts, lath bands or rake bands
A01D0017120000;with bucket conveyors
A01D0017140000;with cylindrical screens
A01D0017160000;with a conveyor spiral
A01D0017180000;without a conveyor spiral
A01D0017200000;with several co-operating screens
A01D0017220000;with several co-operating sifter bands
A01D0019000000;Digging machines with centrifugal wheels, drums, or spinners
A01D0019020000;with working tools rotating around a horizontal axis arranged transverse to the direction of travel
A01D0019040000;with working tools rotating around a horizontal axis arranged parallel to the direction of travel
A01D0019060000;with scoop wheels or drums
A01D0019080000;with scoop tine chains
A01D0019100000;with receiving screens. Implements for depositing the root crops
A01D0019120000;with working tools arranged on an approximately vertical axis
A01D0019140000;with one screening wheel
A01D0019160000;with several screening wheels
A01D0019180000;with screen tine chains
A01D0021000000;Digging machines with potato-picking implements
A01D0021020000;with picking tools moved up-and-down
A01D0021040000;with rotating picking tools
A01D0023000000;Topping machines
A01D0023020000;cutting the tops before being lifted
A01D0023040000;cutting the tops after being lifted
A01D0023060000;with collecting and depositing devices for the tops. Devices for protecting the tops against damage
A01D0025000000;Lifters for beet or like crops
A01D0025020000;Machines with rigid tools
A01D0025040000;Machines with moving or rotating tools
A01D0027000000;Machines with both topping and lifting mechanisms
A01D0027020000;with rigid tools
A01D0027040000;with moving or rotating tools
A01D0029000000;Harvesters for peanuts
A01D0031000000;Other digging harvesters
A01D0031020000;combined with other agricultural machines, e.g. drilling, planting, hay-harvesting machines
A01D0033000000;Accessories for digging harvesters
A01D0033020000;Foliage-separating mechanisms
A01D0033040000;Stone-separating mechanisms
A01D0033060000;Haulm-cutting mechanisms
A01D0033080000;Special sorting and cleaning mechanisms
A01D0033100000;Crop collecting devices, with or without weighing apparatus
A01D0033120000;Driving mechanisms, with or without motor
A01D0033140000;Lifting or lowering mechanisms for the tools
A01D0034000000;Harvesters or mowers for grass, cereals or other crops
A01D0034000000;Mowers (combined with apparatus performing additional operations while mowing A01D0037000000-A01D0041000000, A01D0043000000. convertible to apparatus for purposes other than mowing or capable of performing operations other than mowing A01D0042000000). Mowing apparatus of harvesters
A01D0034010000;characterised by features relating to the type of cutting apparatus
A01D0034020000;having reciprocating cutters
A01D0034030000;mounted on a vehicle, e.g. a tractor, or drawn by an animal or a vehicle
A01D0034040000;with cutters at the front
A01D0034060000;with cutters at the side
A01D0034070000;with cutters at the back
A01D0034080000;hand-guided by a walking operator
A01D0034100000;with motor driven cutters or wheels
A01D0034125000;with means for discharging mown material (A01D0057260000-A01D0057300000.  take precedence.combined with means for gathering or loading mown material A01D0043060000)
A01D0034130000;Cutting apparatus
A01D0034135000;having oppositely movable cooperating knife-bars
A01D0034140000;Knife-bars
A01D0034160000;Guides for the knife-bar in the ledger-plate
A01D0034170000;Holding-down devices for the knife
A01D0034180000;Guard fingers. Ledger-plates
A01D0034200000;Ledger-plate bars
A01D0034220000;Shoes therefor
A01D0034230000;with additional vertical cutter-bar
A01D0034240000;Lifting devices for the cutter-bar
A01D0034260000;manually actuated
A01D0034270000;Devices for disengaging the knife-driving mechanisms during the lifting of the cutter-bar
A01D0034280000;Adjusting devices for the cutter-bar
A01D0034300000;Driving mechanisms for the cutters
A01D0034320000;Connecting-rods for knife-driving mechanisms
A01D0034330000;Devices for connecting the rod to the knife-bar
A01D0034340000;Devices for connecting the rod to the crank-pin of the driving mechanism
A01D0034360000;actuated by advance of the machine
A01D0034370000;electric
A01D0034380000;fluid
A01D0034400000;Other details
A01D0034404000;having cutters driven to oscillate in a horizontal plane
A01D0034408000;and cooperating with counter-cutters
A01D0034412000;having rotating cutters
A01D0034416000;Flexible line cutters
A01D0034420000;having cutters rotating about a horizontal axis, e.g. cutting-cylinders
A01D0034430000;mounted on a vehicle, e.g. a tractor, or drawn by an animal or a vehicle
A01D0034440000;with two or more cutters
A01D0034460000;hand-guided by a walking operator
A01D0034470000;with motor driven cutters or wheels
A01D0034490000;with means for discharging mown material (A01D0057260000-A01D0057300000.  take precedence.combined with means for gathering or loading mown material A01D0043060000)
A01D0034520000;Cutting apparatus
A01D0034530000;Helically shaped cutting members
A01D0034535000;with cutting members pivotally attached to the rotating axle, e.g. flails
A01D0034540000;Cutting-height adjustment
A01D0034560000;Driving mechanisms for the cutters
A01D0034570000;actuated by advance of the machine
A01D0034580000;electric
A01D0034600000;fluid
A01D0034620000;Other details
A01D0034630000;having cutters rotating about a vertical axis
A01D0034640000;mounted on a vehicle, e.g. a tractor, or drawn by an animal or a vehicle (A01D0034695000 takes precedence)..
A01D0034660000;with two or more cutters
A01D0034670000;hand-guided by a walking operator
A01D0034680000;with motor driven cutters or wheels
A01D0034685000;with two or more cutters
A01D0034690000;with motor driven wheels
A01D0034695000;supported by an air cushion
A01D0034710000;with means for discharging mown material (A01D0057260000-A01D0057300000.  take precedence.combined with means for gathering or loading mown material A01D0043060000)
A01D0034730000;Cutting apparatus
A01D0034740000;Cutting-height adjustment
A01D0034760000;Driving mechanisms for the cutters
A01D0034770000;actuated by advance of the machine
A01D0034780000;electric
A01D0034800000;fluid
A01D0034810000;Casings. Housings (A01D0034710000 takes precedence)..
A01D0034820000;Other details
A01D0034830000;having cutting members on endless belts or sprocket chains
A01D0034835000;specially adapted for particular purposes
A01D0034840000;for edges of lawns or fields, e.g. for mowing close to trees or walls (edge trimmers A01G0003000000)
A01D0034860000;for use on sloping ground, e.g. on embankments (undercarriages or frames specially adapted for harvesters or mowers A01D0067000000. control mechanisms for harvesters or mowers when moving on slopes A01D0075280000)
A01D0034900000;for carrying by the operator
A01D0037000000;Reaper-binders (equipment thereon for binding harvested or mown produce, e.g. knotters, A01D0059000000)
A01D0037020000;with receiving platform and binding apparatus but without elevating canvases
A01D0037040000;conveying the stalks in vertical position
A01D0037060000;binding with stalks or straw bands
A01D0039000000;Independent binders, e.g. for hay. Binders attachable to mowers (equipment thereon for binding harvested or mown produce, e.g. knotters, A01D0059000000. stationary apparatus or hand tools for forming or binding straw or hay into bundles A01F0001000000)
A01D0041000000;Combines, i.e. harvesters or mowers combined with threshing devices
A01D0041020000;Self-propelled combines
A01D0041040000;Tractor-driven combines
A01D0041060000;Combines with headers
A01D0041080000;Combines which thresh before the stalk is cut
A01D0041100000;Field threshers with windrow pick-up apparatus
A01D0041120000;Details of combines
A01D0041127000;Control or measuring arrangements specially adapted for combines
A01D0041133000;Drying devices
A01D0041140000;Mowing tables
A01D0041160000;Devices for coupling mowing tables to conveyors
A01D0042000000;Mowers convertible to apparatus for purposes other than mowing. Mowers capable of performing operations other than mowing (mowers combined with apparatus performing additional operations while mowing A01D0043000000)
A01D0042020000;Raking
A01D0042040000;Soil working
A01D0042060000;Sweeping or cleaning lawns or other surfaces
A01D0042080000;Sweeping snow
A01D0043000000;Mowers combined with apparatus performing additional operations while mowing (A01D0037000000, A01D0039000000, A01D0041000000 take precedence)..
A01D0043020000;with rakes
A01D0043040000;with haymakers, e.g. tedders
A01D0043060000;with means for collecting, gathering or loading mown material
A01D0043063000;in or into a container carried by the mower. Containers therefor (A01D0043077000 takes precedence)..
A01D0043070000;in or into a trailer (A01D0043077000 takes precedence)..
A01D0043073000;with controllable discharge spout
A01D0043077000;with auxiliary means, e.g. fans, for transporting the mown crop
A01D0043080000;with means for cutting up the mown crop
A01D0043100000;with means for crushing or bruising the mown crop
A01D0043120000;with soil-working implements, e.g. ploughs
A01D0043140000;with dispensing apparatus, e.g. for fertilisers, herbicides or preservatives
A01D0043160000;with lawn edgers
A01D0044000000;Harvesting of underwater plants, e.g. harvesting of seaweed
A01D0044020000;of laver
A01D0045000000;Harvesting of standing crops (A01D0044000000 takes precedence.threshing machines adapted for special crops, threshing devices for combines adapted for special crops A01F0011000000)
A01D0045020000;of maize
A01D0045040000;of rice
A01D0045060000;of flax
A01D0045100000;of sugar cane
A01D0045160000;of tobacco
A01D0045220000;of beans
A01D0045240000;of peas
A01D0045260000;of cabbage or lettuce
A01D0045280000;of spinach
A01D0045300000;of grass-seeds or like seeds
A01D0046000000;Picking of fruits, vegetables, hops, or the like. Devices for shaking trees or shrubs
A01D0046020000;of hops
A01D0046040000;of tea
A01D0046060000;of coffee
A01D0046080000;of cotton
A01D0046100000;pneumatically
A01D0046120000;using boll-from-plant strippers
A01D0046140000;using lint-from-plant pickers
A01D0046160000;using rotary or oscillating spindles
A01D0046180000;mounted on rotary carrier
A01D0046200000;Platforms with lifting and lowering devices
A01D0046220000;Baskets or bags attachable to the picker
A01D0046240000;Devices for picking apples or like fruit (A01D0046260000 takes precedence)..
A01D0046247000;Manually operated fruit-picking tools (A01D0046253000 takes precedence)..
A01D0046253000;Portable motorised fruit pickers
A01D0046260000;Devices for shaking trees or shrubs. Fruit catching devices to be used therewith (A01D0046280000 takes precedence)..
A01D0046280000;Vintaging machines, i.e. grape harvesting machines
A01D0046300000;Robotic devices for individually picking crops
A01D0047000000;Headers
A01D0051000000;Apparatus for gathering together crops spread on the soil, e.g. apples, beets, nuts, potatoes
A01D0057000000;Components of harvesters or mowers for grass or cereals
A01D0057000000;Delivering mechanisms for harvesters or mowers
A01D0057010000;Devices for leading crops to the mowing apparatus
A01D0057020000;using reels
A01D0057030000;with supplementary controlled movement of the crop-engaging members, e.g. of the tines
A01D0057040000;Arrangements for changing the position of the reels
