D;SECTION D TEXTILESPAPER
D05C0009100000;Work holders or carriers
D05C0009120000;Holding or stretching arrangements for the base fabric in embroidery work holders
D05C0009140000;Suspension or balancing arrangements therefor
D05C0009160000;Feeding arrangements therefor
D05C0009180000;Movement of the base fabric in one of the two directions controlled by embroidering needles
D05C0009200000;Movement of the base fabric controlled by the presser feet. Driving arrangements therefor
D05C0009220000;Adjusting or registering devices for the base fabric, e.g. for alignment with respect to the needles
D05C0011000000;Devices for guiding, feeding, handling, or treating the threads in embroidering machines. Machine needles. Operating or control mechanisms therefor
D05C0011020000;Machine needles
D05C0011040000;Arrangements for fastening or inserting in bars or carriers
D05C0011060000;Needle-driving or control mechanisms
D05C0011080000;Thread-tensioning arrangements
D05C0011100000;Guides, e.g. resilient
D05C0011120000;Rollers
D05C0011140000;Stop motions responsive to thread tension or breakage
D05C0011160000;Arrangements for repeating thread patterns or for changing threads
D05C0011180000;Shuttles
D05C0011200000;Arrangements for cutting the needle or lower threads
D05C0011220000;Arrangements for cutting-out broken threads
D05C0011240000;incorporating devices for dyeing or impregnating the threads
D05C0013000000;Auxiliary devices incorporated in embroidering machines, not otherwise provided for. Ancillary apparatus for use with embroidering machines
D05C0013020000;Counting, measuring, indicating, warning, or safety devices
D05C0013040000;Lubricating devices
D05C0013060000;Apparatus for filling or threading shuttles
D05C0015000000;Making pile fabrics or articles having similar surface features by inserting loops into a base material (layered products B32B. non-woven pile fabrics D04H0011000000)
D05C0015020000;Rooting of hair in doll heads or wigs (wigs A41G0003000000. hair or wigs for doll heads A63H0003440000)
D05C0015040000;Tufting
D05C0015060000;Hand tufting needles
D05C0015080000;Tufting machines
D05C0015100000;operating with a plurality of needles, e.g. in one row
D05C0015120000;in more than one row
D05C0015140000;Arrangements or devices for holding or feeding the base material (D05C0015260000 takes precedence)..
D05C0015160000;Arrangements or devices for manipulating threads (D05C0015260000 takes precedence)..
D05C0015180000;Thread feeding or tensioning arrangements
D05C0015200000;Arrangements or devices, e.g. needles, for inserting loops. Driving mechanisms therefor
D05C0015220000;Loop-catching arrangements, e.g. loopers. Driving mechanisms therefor
D05C0015240000;Loop cutters. Driving mechanisms therefor
D05C0015260000;with provision for producing patterns
D05C0015280000;by moving the base material laterally
D05C0015300000;by moving the tufting tools laterally
D05C0015320000;by altering the loop length
D05C0015340000;by inserting loops of different nature or colour
D05C0015360000;by selective cutting of loops
D05C0015380000;by passing thread material in zig-zag manner through spaced layers of base material and subsequently cutting along a central plane
D05C0017000000;Embroidered or tufted products. Base fabrics specially adapted for embroidered work. Inserts for producing surface irregularities in embroidered products (layered products B32B. non-woven pile fabrics D04H0011000000)
D05C0017020000;Tufted products
D06;TREATMENT OF TEXTILES OR THE LIKE. LAUNDERING. FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
D06B;TREATING TEXTILE MATERIALS BY LIQUIDS, GASES, OR VAPOURS (applying liquids to surfaces in general B05. conveying in general, handling webs or filaments in general B65. treating leather C14C. mechanical removal of impurities from animal fibres D01B. laundering D06F. chemical matters, seeD06L-D06Q)
D06B0001000000;Applying liquids, gases, or vapours on to textile materials to effect treatment, e.g. washing, dyeing, bleaching, sizing, impregnating (mercerising D06B0007000000. solvent-treatment D06B0009000000. treatment of selected parts of textile materials D06B0011000000. with aid of vibration D06B0013000000. transfer application of finishing agents D06M0023000000)
D06B0001020000;by spraying or projecting (D06B0001080000 takes precedence.spraying in general B05)
D06B0001040000;by pouring or allowing to flow on to the surface of the textile material
D06B0001060000;flowing along an inclined surface
D06B0001080000;from outlets being in, or almost in, contact with the textile material
D06B0001100000;by contact with a member carrying the treating material
D06B0001120000;by rubbing contact, e.g. with brushes or pads
D06B0001140000;with a roller
D06B0001160000;the treating material being supplied from inside the roller
D06B0003000000;Passing of textile materials through liquids, gases, or vapours to effect treatment, e.g. washing, dyeing, bleaching, sizing, impregnating (mercerising D06B0007000000. solvent-treatment D06B0009000000. treatment of selected parts of textile materials D06B0011000000. with aid of vibration D06B0013000000)
D06B0003020000;of fibres, slivers, or rovings
D06B0003040000;of yarns, threads, or filaments
D06B0003060000;individually handled
D06B0003080000;as hanks
D06B0003090000;as packages, e.g. cheeses
D06B0003100000;of fabrics (D06B0003240000, D06B0003280000, D06B0003320000 take precedence.jiggers D06B0003320000)
D06B0003120000;in zig-zag manner over series of guiding means
D06B0003140000;in wound form
D06B0003160000;in superimposed, i.e. stack-packed, form
D06B0003180000;combined with squeezing, e.g. in padding machines
D06B0003200000;with means to improve the circulation of the treating material on the surface of the fabric
D06B0003220000;only one side of the fabric coming into contact with the guiding means
D06B0003240000;of fabrics in roped form
D06B0003260000;in superimposed, i.e. stack-packed, form
D06B0003280000;of fabrics propelled by, or with the aid of, jets of the treating material
D06B0003300000;of articles, e.g. stockings
D06B0003320000;of open-width materials backwards and forwards between beaming rollers during treatment. Jiggers
D06B0003340000;Driving arrangements of machines or apparatus
D06B0003360000;Drive control
D06B0005000000;Forcing liquids, gases, or vapours through textile materials to effect treatment, e.g. washing, dyeing, bleaching, sizing, impregnating (mercerising D06B0007000000. solvent-treatment D06B0009000000. treatment of selected parts of textile materials D06B0011000000. with aid of vibration D06B0013000000)
D06B0005020000;through moving materials of indefinite length
D06B0005040000;through slivers or rovings
D06B0005060000;through yarns, threads, or filaments
D06B0005080000;through fabrics
D06B0005100000;using centrifugal force
D06B0005120000;through materials of definite length
D06B0005140000;through fibres, slivers, or rovings
D06B0005160000;through yarns, threads, or filaments
D06B0005180000;through beamed warp
D06B0005200000;through hanks
D06B0005220000;through fabrics
D06B0005240000;through articles, e.g. stockings
D06B0005260000;using centrifugal force
D06B0007000000;Mercerising, e.g. lustring by mercerising
D06B0007020000;of slivers
D06B0007040000;of yarns, threads, or filaments
D06B0007060000;of hanks of yarns
D06B0007080000;of fabrics of indefinite length
D06B0007100000;of tubular fabrics or tubular articles
D06B0009000000;Solvent-treatment of textile materials (dry-cleaning D06F0043000000)
D06B0009020000;solvent-dyeing
D06B0009040000;Successively applying two or more different solvent-based treating materials
D06B0009060000;with recovery of the solvent
D06B0011000000;Treatment of selected parts of textile materials, e.g. partial dyeing
D06B0013000000;Treatment of textile materials with liquids, gases, or vapours with aid of vibration
D06B0015000000;Removing liquids, gases, or vapours from textile materials in association with treatment of the materials by liquids, gases, or vapours (drying F26B)
D06B0015020000;by squeezing rollers
D06B0015040000;by suction
D06B0015060000;by vibrating the textile material
D06B0015080000;by scraping
D06B0015090000;by jets of gases
D06B0015100000;by use of centrifugal force
D06B0015120000;up to the moisture regain of textile material
D06B0017000000;Storing of textile materials in association with the treatment of the materials by liquids, gases, or vapours (carriers or supports specially adapted therefor D06B0023040000)
D06B0017020000;in superimposed, i.e. stack-packed, form. J-boxes
D06B0017040000;in wound form
D06B0017060000;in festooned form
D06B0019000000;Treatment of textile materials by liquids, gases, or vapours, not provided for in groups . D06B0001000000-D06B0017000000
D06B0021000000;Successive treatments of textile materials by liquids, gases, or vapours (successive treatments in which the characteristics of a single treatment are of interest only, or in which all treatments have characteristics provided for in a single main group, see the relevant groups for the single treatment)..
D06B0021020000;the treatments being performed in a single container
D06B0023000000;Component parts, details, or accessories of apparatus or machines, specially adapted for the treating of textile materials, not restricted to a particular kind of apparatus, provided for in groups . D06B0001000000-D06B0021000000
D06B0023020000;Rollers
D06B0023040000;Carriers or supports for textile materials to be treated
D06B0023060000;Guiding means for preventing filaments, yarns, or threads from sticking together
D06B0023080000;Untwisting devices
D06B0023100000;Devices for dyeing samples (D06B0023120000 takes precedence)..
D06B0023120000;Means for taking samples from textile materials during or after treatment
D06B0023140000;Containers, e.g. vats
D06B0023160000;with means for introducing or removing textile materials without modifying container pressure
D06B0023180000;Sealing arrangements
D06B0023200000;Arrangements of apparatus for treating processing-liquids, -gases, or -vapours, e.g. purification, filtration, distillation (such apparatus per se, see the relevant classes for the apparatus)..
D06B0023220000;for heating
D06B0023240000;Means for regulating the amount of treating material picked up by the textile material during its treatment
D06B0023260000;in response to a test conducted on the textile material
D06B0023280000;in response to a test conducted on the treating material
D06B0023300000;Means for cleaning apparatus or machines, or parts thereof
D06C;FINISHING, DRESSING, TENTERING, OR STRETCHING TEXTILE FABRICS (chemical matters, seeD06L-D06Q. drying F26B)
D06C0003000000;Stretching, tentering, or spreading textile fabrics. Producing elasticity in textile fabrics (shaping or stretching tubular fabrics upon cores or internal frames D06C0005000000. removing skew or disorientation of weft threads in woven fabrics D06H0003120000)
D06C0003020000;by endless chain or like apparatus (hooks or pin-blocks D06C0003100000)
D06C0003040000;Tentering clips
D06C0003060000;by rotary disc, roller, or like apparatus
D06C0003080000;by frames or like apparatus
D06C0003100000;Hooks, pin-blocks, or like apparatus
D06C0005000000;Shaping or stretching of tubular fabrics upon cores or internal frames (supports simply for drying D06F0059000000)
D06C0007000000;Heating or cooling textile fabrics (hosiery boarding D06C0005000000. singeing D06C0009000000. treating with liquids, gases, or vapours D06B. processes comprising combined chemical and mechanical treatment D06M. during operations provided for elsewhere, see the relevant groups for such operations).
D06C0007020000;Setting
D06C0007040000;Carbonising or oxidising
D06C0009000000;Singeing (for making patterns or designs D06C0023020000)
D06C0009020000;by flame
D06C0009040000;by contact with heated elements
D06C0011000000;Teasing, napping, or otherwise roughening or raising pile of textile fabrics (for making patterns or designs D06C0023000000)
D06C0013000000;Shearing, clipping, or cropping surfaces of textile fabrics. Pile cutting. Trimming seamed edges (for making patterns or designs D06C0023000000. cutting or severing fabrics D06H)
D06C0013020000;Arrangements for detecting the presence of a seam in the fabric to lift the shearing blade
D06C0013040000;Shearing lace or embroidery, e.g. cutting loose threads
D06C0013060000;Removing floats
D06C0013080000;Cutting pile loops (on the loom D03D0039240000)
D06C0013100000;Splitting double pile fabrics (on the loom D03D0039160000)
D06C0013120000;Trimming hosiery or seamed edges of fabrics
D06C0015000000;Calendering, pressing, ironing, glossing, or glazing textile fabrics (shrinking by compressing D06C0021000000. for making patterns or designs D06C0023000000. domestic, laundry, or like ironing or pressing D06F)
D06C0015020000;between co-operating press or calender rolls
D06C0015040000;between rollers and co-operating concave surfaces (D06C0015060000 takes precedence)..
D06C0015060000;between rollers and co-operating moving surfaces formed of flexible material, e.g. bands
D06C0015080000;Rollers therefor
D06C0015100000;between flat plates of a press
D06C0015120000;for pressing a pile of fabrics
D06C0015140000;Beetling
D06C0017000000;Fulling
D06C0017020000;by rollers
D06C0017040000;by hammers or beaters
D06C0019000000;Breaking or softening of fabrics (by stretching D06C0003000000. by calendering, pressing, or beetling D06C0015000000. by fulling D06C0017000000)
D06C0021000000;Shrinking by compressing
D06C0023000000;Making patterns or design on fabrics (by printing B41F. decoration in general B44)
D06C0023020000;by singeing, teasing, shearing, etching, or brushing
D06C0023040000;by shrinking, embossing, moireing, or crêping
D06C0025000000;Treating selvedges or other edges, e.g. stiffening (trimming edges D06C0013120000. forming selvedges on the loom, e.g. by adhesive, D03D0047400000)
D06C0027000000;Compound processes or apparatus, for finishing or dressing textile fabrics, not otherwise provided for
D06C0029000000;Finishing or dressing, of textile fabrics, not provided for in the other groups of this subclass
D06F;LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES (apparatus for blocking, pressing, steaming, or stretching hats A42C. treating textile materials by liquids, gases or vapors D06B. chemical matters, seeD06L, D06M)
D06F0001000000;Washing. Rinsing. Dry-cleaning
D06F0001000000;Washing receptacles (of washing machines D06F0037000000, D06F0039000000)
D06F0001020000;Wash-tubs, Supports therefor
D06F0001040000;the tub walls or bottom having corrugations (rubbing boards D06F0003020000)
D06F0001060000;Wash-boiler receptacles
D06F0001080000;with special means for water circulation by heat, e.g. fountain-washers
D06F0001100000;Covers. Handles
D06F0001120000;Racks or other rigid open containers of skeleton or like apertured construction supporting clothes in washing receptacles
D06F0003000000;Hand rubbing apparatus (corrugated tub-walls D06F0001040000)
D06F0003020000;Rubbing boards
D06F0003040000;Hand rubbers, e.g. gloves with corrugated surfaces
D06F0005000000;Hand implements for washing purposes, e.g. sticks (hand rubbing appliances D06F0003000000. brushes A46B)
D06F0005020000;Plungers, dollies, pounders, squeezers, or the like
D06F0005040000;adapted for removable mounting on receptacles such as wash-tubs
D06F0005060000;Grippers
D06F0007000000;Washing devices adapted to be used independently of any particular receptacle, e.g. for removable mounting on wash-tubs, bath-tubs, or the like
D06F0007020000;of the rotary-impeller type
D06F0007040000;of the vibrator type
D06F0007060000;agitating the washing liquid by air
D06F0009000000;Brushing-type washing machines
D06F0011000000;Washing machines using rollers, e.g. of the mangle type
D06F0013000000;Washing machines having receptacles, stationary for washing purposes, with agitators therein contacting the articles being washed (plungers or the like adapted for removable mounting on receptacles D06F0005040000. washing devices adapted to be used independently of any particular receptacle D06F0007000000)
D06F0013020000;wherein the agitator has an oscillatory rotary motion only
D06F0013040000;wherein the agitator has an axial motion only
D06F0013060000;wherein the agitator has both rotary, e.g. oscillating rotary, motion and axial motion
D06F0013080000;wherein the agitator has a gyratory or orbital motion
D06F0015000000;Washing machines having beating, rubbing, or squeezing means in receptacles stationary for washing purposes (plungers or the like adapted for removable mounting on receptacles D06F0005040000. mangle-type washing machines D06F0011000000)
D06F0015020000;wherein the articles being washed are squeezed by a flexible diaphragm or bag
D06F0017000000;Washing machines having receptacles, stationary for washing purposes, wherein the washing action is effected solely by circulation or agitation of the washing liquid (washing devices adapted to be used independently of any particular receptacle D06F0007000000. using vibrations for washing purposes D06F0019000000)
D06F0017020000;by pumps (D06F0017040000 takes precedence)..
D06F0017040000;solely by water jets
D06F0017060000;by rotary impellers
D06F0017080000;Driving arrangements for the impeller
D06F0017100000;Impellers
D06F0017120000;solely by gases, e.g. air or steam, introduced into the washing liquid
D06F0018000000;Washing machines having receptacles, stationary for washing purposes, and having further drying means (details concerning drying only D06F0058000000)
D06F0019000000;Washing machines using vibrations for washing purposes (devices of the vibrator type adapted to be used independently of any particular receptacle D06F0007040000)
D06F0021000000;Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement (with receptacles serving both for washing and centrifugally draining D06F0023000000, D06F0025000000. with receptacles moving bodily about an axis D06F0027000000. programme control aspects D06F0033000000)
D06F0021020000;about a horizontal axis
D06F0021040000;within an enclosing receptacle
D06F0021060000;about a vertical axis
D06F0021080000;within an enclosing receptacle
D06F0021100000;about an inclined axis
D06F0021120000;the receptacle having a wobbling motion
D06F0021140000;with rubbing or beating means not secured to, or forming part of, the receptacle
D06F0023000000;Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement, the receptacle serving both for washing and centrifugally draining (with further drying means D06F0025000000. programme control aspects D06F0033000000)
D06F0023020000;and rotating or oscillating about a horizontal axis
D06F0023040000;and rotating or oscillating about a vertical axis
D06F0023060000;and rotating or oscillating about an inclined axis
D06F0025000000;Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement, the receptacle serving both for washing and centrifugally draining and having further drying means, e.g. using hot air (programme-control aspects D06F0033000000. details concerning drying only D06F0058000000)
D06F0027000000;Washing machines with receptacles moving bodily, e.g. reciprocating, swinging
D06F0029000000;Combinations of a washing machine with other separate apparatus in a common frame or the like, e.g. with rinsing apparatus
D06F0029020000;with liquid-extracting apparatus (with roller wringer D06F0045120000)
D06F0031000000;Washing installations comprising an assembly of several washing machines or washing units, e.g. continuous flow assemblies
D06F0033000000;Controlling a series of operations in washing machines, e.g. programme-control arrangements for washing and drying cycles (D06F0031000000 takes precedence)..
D06F0033020000;electrically
D06F0033040000;non-electrically
D06F0033060000;substantially mechanically
D06F0033080000;substantially hydraulically
D06F0033100000;substantially pneumatically
D06F0035000000;Washing machines, apparatus, or methods not otherwise provided for
D06F0037000000;Details of washing machines of kinds covered by groups  D06F0021000000-D06F0025000000, restricted to machines of these kinds(details of more general application D06F0039000000. details concerning drying only D06F0058000000)
D06F0037020000;Rotary receptacles, e.g. drums
D06F0037040000;adapted for rotation or oscillation about a horizontal or inclined axis
D06F0037060000;Ribs, lifters, or rubbing means forming part of the receptacle
D06F0037080000;Partitions
D06F0037100000;Doors. Securing means therefor
D06F0037120000;adapted for rotation or oscillation about a vertical axis
D06F0037140000;Ribs or rubbing means forming part of the receptacle
D06F0037160000;Partitions
D06F0037180000;Doors or covers. Securing means therefor
D06F0037200000;Mountings, e.g. resilient mountings, for the rotary receptacle, motor, tub, or casing. preventing or damping vibrations (damping vibrations in general F16F)
D06F0037220000;in machines with a receptacle rotating or oscillating about a horizontal axis
D06F0037240000;in machines with a receptacle rotating or oscillating about a vertical axis
D06F0037260000;Casings. Tubs
D06F0037280000;Doors. Security means therefor
D06F0037300000;Driving arrangements
D06F0037320000;for rotating the receptacle at one speed only
D06F0037340000;in opposite directions, e.g. oscillating
D06F0037360000;for rotating the receptacle at more than one speed
D06F0037380000;in opposite directions
D06F0037400000;for driving the receptacle and an agitator or impeller, e.g. alternatively
D06F0037420000;Safety arrangements, e.g. for stopping rotation of the receptacle upon opening of the casing door
D06F0039000000;Details of washing machines in so far as such details are not special to washing machines of groups . D06F0021000000-D06F0025000000.  or to any particular type of washing machine defined in groups D06F0009000000-D06F0019000000.  or D06F0027000000
D06F0039020000;Devices for adding soap or other washing agents
D06F0039040000;Heating arrangements
D06F0039060000;Arrangements for preventing or destroying scum
D06F0039080000;Liquid supply or discharge arrangements (supplying liquid detergent D06F0039020000)
D06F0039100000;Filtering arrangements
D06F0039120000;Casings. Tubs
D06F0039140000;Doors or covers. Securing means therefor
D06F0041000000;Rinsing apparatus
D06F0043000000;Dry-cleaning apparatus using volatile solvents (D06F0009000000-D06F0041000000.  take precedence)..
D06F0043020000;having one rotary cleaning receptacle only
D06F0043040000;having more than one rotary cleaning receptacle
D06F0043060000;wherein the articles to be cleaned are passed through a cleaning chamber or bath
D06F0043080000;Associated apparatus for handling and recovering the solvents (separate apparatus for purifying dry-cleaning solvents B01D)
D06F0045000000;Expelling water from the linen. Smoothing by cold rolling
D06F0045000000;Wringing machines with two or more co-operating rollers. Similar cold-smoothing apparatus
D06F0045020000;wherein the pressure is transmitted by spring means
D06F0045040000;with hand-operated quick-release means
D06F0045060000;with automatically-operated quick-release means
D06F0045080000;wherein the pressure is applied by fluid means
D06F0045100000;with three or more co-operating rollers
D06F0045120000;combined with washing machines
D06F0045140000;with means for removable attachment to washing machines, tables or other supports (combined with tables A47B)
D06F0045160000;Details
D06F0045180000;Driving or control arrangements for rotation of the rollers
D06F0045200000;Toggle or other lever means for transmitting pressure to the rollers
D06F0045220000;Rollers
D06F0045240000;Frames guiding or housing the roller shafts. Stands for supporting the roller framework
D06F0045260000;Draining boards. Feed or discharge boards. Stripping means
D06F0045280000;Belt arrangements for guiding the linen between the rollers
D06F0047000000;Apparatus of the press type for expelling water from the linen
D06F0047020000;by a mechanically-actuated ram
D06F0047040000;by a fluid-actuated ram
D06F0047060000;by a flexible diaphragm
D06F0047080000;Covers. Securing means therefor
D06F0049000000;Domestic spin-dryers or similar spin-dryers not suitable for industrial use (centrifuges in general B04B)
D06F0049020000;Bowl construction
D06F0049040000;Bowl drive
D06F0049060000;Mountings, e.g. resilient mountings, for the bowl or casings. Preventing or damping vibrations (damping vibrations in general F16F)
D06F0049080000;Liquid discharge arrangements
D06F0051000000;Apparatus for expelling or draining water from the linen, not provided for in groups . D06F0045000000-D06F0049000000
D06F0051020000;by twisting
D06F0053000000;Drying. Airing
D06F0053000000;Clothes-lines. Supports therefor (drying frames incorporating clothes-lines D06F0057000000. supports or holders specially adapted or mounted for storing and repeatedly paying-out and restoring lengths of lines B65H0075340000. ropes, cables D07B)
D06F0053020000;Clothes-lines
D06F0053040000;Supports, e.g. poles, props for clothes-lines (poles in general E04H)
D06F0055000000;Clothes-pegs
D06F0055020000;with pivoted clamping members
D06F0057000000;Supporting means, other than simple clothes-lines, for linen or garments to be dried or aired (in combination with means for heating or positive air circulation D06F0058000000, F26B. adapted to retain the shape of particular articles being dried D06F0059000000. clothing hangers, e.g. suit hangers, A47G0025140000)
D06F0057020000;mounted on pillar, e.g. rotatably
D06F0057040000;and having radial arms, e.g. collapsible
D06F0057060000;comprising vertical members connected by horizontal bars
D06F0057080000;Folding stands (D06F0057060000 takes precedence)..
D06F0057100000;of the lazy-tongs type
D06F0057120000;specially adapted for attachment to walls, ceilings, stoves, or other structures or objects
D06F0058000000;Domestic laundry driers (drying in general F26B)
D06F0058020000;having drier drums rotating about a horizontal axis
D06F0058040000;Details (controlling or regulating arrangements D06F0058280000)
D06F0058060000;Mountings for the rotating drums
D06F0058080000;Driving arrangements
D06F0058100000;Drying cabinets or drying chambers having heating or ventilating means
D06F0058120000;having conveying means for moving clothes, e.g. along an endless track
D06F0058140000;Collapsible drying cabinets. Wall mounted collapsible hoods
D06F0058160000;having heatable surfaces for contacting the laundry (D06F0059000000 takes precedence)..
D06F0058180000;Detachable or door-mounted drying arrangements for washing machines
D06F0058200000;General details of domestic laundry driers (D06F0059000000 takes precedence)..
D06F0058220000;Lint collecting arrangements
D06F0058240000;Condensing arrangements
D06F0058260000;Heating arrangements, e.g. gas heating equipment (D06F0058180000 takes precedence)..
D06F0058280000;Controlling or regulating (controlling or regulating in general G05)
D06F0059000000;Supports adapted to retain the shape of particular articles being dried, e.g. incorporating heating means
D06F0059020000;for garments
D06F0059040000;for gloves
D06F0059060000;for stockings
D06F0059080000;for curtains, table cloths, or other articles of sheet form
D06F0060000000;Drying not provided for in. groups D06F0053000000-D06F0059000000
D06F0061000000;Ironing. Pressing
D06F0061000000;Ironing machines using two or more co-operating pressing rollers
D06F0061020000;with two rollers
D06F0061040000;with three or more rollers one above the other
D06F0061060000;with successive pairs of rollers
D06F0061080000;with one central roller co-operating with a plurality of circumferential rollers
D06F0061100000;with two or more central rollers co-operating with a plurality of circumferential rollers
D06F0063000000;Ironing machines having a roller or rollers coacting with a fixed or moving flat bed or table (coverings or pads D06F0083000000)
D06F0063020000;with two or more rollers co-acting with a fixed or moving flat bed or table
D06F0065000000;Ironing machines with rollers rotating against curved surfaces
D06F0065020000;with one roller only
D06F0065040000;the bed being urged against the roller by hand or foot
D06F0065060000;the bed being urged against the roller by power
D06F0065080000;the roller being urged against the bed
D06F0065100000;with two or more rollers co-operating with two or more curved surfaces
D06F0067000000;Details of ironing machines provided for in groups  D06F0061000000, D06F0063000000, or D06F0065000000. (coverings or pads for ironing or pressing members D06F0083000000)
D06F0067020000;Rollers. Heating arrangements therefor
D06F0067040000;Arrangements for feeding or spreading the linen
D06F0067060000;Means for stripping the linen from the rollers
D06F0067080000;Beds. Heating arrangements therefor
D06F0067100000;Driving arrangements
D06F0069000000;Ironing machines not otherwise provided for
D06F0069020000;using endless or other ironing or pressing belts or aprons
D06F0069040000;with relatively-sliding flat surfaces
D06F0071000000;Apparatus for hot-pressing clothes, linen, or other textile articles, i.e. wherein there is substantially no relative movement between pressing element and article while pressure is being applied to the article. Similar machines for cold-pressing clothes, linen, or other textile articles (smoothing by cold rolling between two or more co-operating rollers D06F0045000000. devices, for household use, for cold-pressing garments A47G)
D06F0071020000;actuated wholly by hand or foot (D06F0071080000 takes precedence)..
D06F0071040000;power-actuated (D06F0071080000 takes precedence)..
D06F0071060000;fluid-actuated
D06F0071080000;wherein one or more of the pressing elements is moved laterally between successive pressing operations (laundry systems or arrangements of apparatus or machines D06F0095000000)
D06F0071100000;by movement about a vertical axis
D06F0071120000;by movement about a horizontal axis
D06F0071140000;by a rectilinear movement
D06F0071160000;having a pressing element or buck adapted to provide interior support for a garment to be pressed (D06F0071180000 takes precedence)..
D06F0071180000;specially adapted for pressing particular garments or parts thereof (for pressing seams D06F0071300000)
D06F0071200000;for pressing shirts
D06F0071220000;for pressing collars
D06F0071240000;for pressing cuffs
D06F0071260000;for pressing shoulders or necks
D06F0071280000;for pressing sleeves, trousers, or other tubular garments or tubular parts of garments
D06F0071290000;Trousers
D06F0071300000;specially adapted for pressing seams
D06F0071320000;Details
D06F0071340000;Heating arrangements. Arrangements for supplying or removing steam or other gases
D06F0071360000;Pressing elements (for use in pressing particular garments or parts thereof D06F0071180000. coverings or pads therefor D06F0083000000)
D06F0071380000;Feeding arrangements (feeding by lateral movement of pressing elements D06F0071080000)
D06F0071400000;Holders or stretchers for the article to be pressed
D06F0073000000;Apparatus for smoothing or removing creases from garments or other textile articles by formers, cores, stretchers, or internal frames, with the application of heat or steam (stretchers for drying purposes D06F0059000000. combined with external pressure means D06F0071000000. stretchers for use with presses D06F0071400000. dress forms for the tailoring trade A41H. garment stretchers without the application of heat A47G0025000000)
D06F0073020000;having one or more treatment chambers
D06F0075000000;Hand irons
D06F0075020000;Externally-heated hand irons. Hand irons internally heated by means other than electricity, e.g. by solid fuel, by steam
D06F0075040000;by pre-heated block
D06F0075060000;with means for supplying steam or liquid to the article being ironed (D06F0075320000 takes precedence)..
D06F0075080000;Hand irons internally heated by electricity
D06F0075100000;with means for supplying steam to the article being ironed (D06F0075320000 takes precedence)..
D06F0075120000;the steam being produced from water supplied to the iron from an external source
D06F0075140000;the steam being produced from water in a reservoir carried by the iron
D06F0075160000;the reservoir being heated to produce the steam
D06F0075180000;the water being fed slowly, e.g. drop by drop, from the reservoir to a steam generator
D06F0075200000;Arrangements for discharging the steam to the article being ironed
D06F0075220000;with means for supplying liquid to the article being ironed (D06F0075100000 takes precedence)..
D06F0075240000;Arrangements of the heating means within the iron. Arrangements for distributing, conducting, or storing the heat (electric heating in general H05B)
D06F0075260000;Temperature control or indicating arrangements (thermally-actuated switches H01H)
D06F0075280000;Arrangements for attaching, protecting, or supporting the electric supply cable
D06F0075300000;Hand irons of special external shape or form
D06F0075320000;Attachments for converting hand irons to steam irons
D06F0075340000;Handles. Handle mountings
D06F0075360000;Casings
D06F0075380000;Sole plates (D06F0075200000 takes precedence)..
D06F0075400000;Stands or supports attached to the iron
D06F0077000000;Arrangements for exerting pressure on, lifting, or guiding hand irons
D06F0079000000;Accessories for hand irons
D06F0079020000;Stands or supports neither attached to, nor forming part of, the iron or ironing board
D06F0079040000;Stoves or other heating means specially adapted for heating irons externally (stoves in general F24)
D06F0079060000;Means, not forming part of the iron, for cooling the iron
D06F0081000000;Ironing boards (coverings or pads therefor D06F0083000000. combined with tables, mounted in kitchen cabinets A47B. tables in general A47B. combined with ladders E06C)
D06F0081020000;with collapsible underframe
D06F0081040000;with means for adjusting height
D06F0081060000;attachable to independent supports, e.g. walls
D06F0081080000;incorporating heating, steaming, or forced ventilation means
D06F0081100000;Top board elements
D06F0081120000;Sleeve boards. Attaching means therefor
D06F0081140000;Means for attaching covers
D06F0083000000;Coverings or pads for ironing or pressing members
D06F0085000000;Independent elements for interposition between the article and the ironing or pressing surface
D06F0087000000;Other laundry apparatus or systems
D06F0087000000;Apparatus for moistening or otherwise conditioning the article to be ironed or pressed (apparatus for smoothing or removing creases from garments or other textile articles by formers, cores, stretchers or internal frames, with the application of heat or steam D06F0073000000)
D06F0089000000;Apparatus for folding textile articles with or without stapling
D06F0089020000;of textile articles to be worn, e.g. shirts
D06F0091000000;Starching apparatus
D06F0093000000;Counting, sorting, or marking arrangements specially adapted for laundry purposes
D06F0095000000;Laundry systems or arrangements of apparatus or machines. Mobile laundries (D06F0031000000 takes precedence.laundries as buildings E04H)
D06G;MECHANICAL OR PRESSURE CLEANING OF CARPETS, RUGS, SACKS, HIDES, OR OTHER SKIN OR TEXTILE ARTICLES OR FABRICS. TURNING INSIDE-OUT FLEXIBLE TUBULAR OR OTHER HOLLOW ARTICLES (mechanical preparation or mechanical treatment of bed feathers B68G0003000000)
D06G0001000000;Beating, brushing, or otherwise mechanically cleaning or pressure cleaning carpets, rugs, sacks, hides, or other skin or textile articles or fabrics (brushes A46B. suction cleaners A47L. domestic cleaning apparatus A47L. cleaning in general B08B. apparatus for cleaning bed feathers B68G0003000000)
