E;SECTION E FIXED CONSTRUCTIONS
E01B0003460000;made from different materials (E01B0003260000, E01B0003420000 take precedence)..
E01B0003480000;Distance keepers or tie-rods for sleepers
E01B0005000000;Rails. Guard rails (manufacture of rails B21B). Distance-keeping means for them
E01B0005020000;Rails
E01B0005040000;Grooved rails
E01B0005060000;Reversible or invertible rails
E01B0005080000;Composite rails. Compound rails with dismountable or non-dismountable parts
E01B0005100000;Composite grooved rails. Inserts for grooved rails
E01B0005120000;Rails with a foot serving as a sleeper
E01B0005140000;Rails for special parts of the track, e.g. for curves
E01B0005160000;Distance keepers
E01B0005180000;Guard rails. Connecting, fastening or adjusting means therefor
E01B0007000000;Switches. Crossings (operating mechanisms B61L)
E01B0007020000;Tongues. Associated constructions
E01B0007040000;Constructions with tongues turning about a vertical pivot at the end
E01B0007060000;Constructions with flexible tongues or flexible fishplates
E01B0007080000;Other constructions of tongues, e.g. tilting about an axis parallel to the rail, movable tongue blocks or rails
E01B0007100000;Frogs
E01B0007120000;Fixed frogs made of one part or composite
E01B0007140000;with movable parts
E01B0007160000;Jump-over frogs
E01B0007180000;Combinations of switches and crossings
E01B0007200000;Safety means for switches, e.g. switch point protectors, auxiliary or guiding rail members
E01B0007220000;Special sleepers for switches or crossings. Fastening means therefor
E01B0007240000;Heating of switches
E01B0007260000;Lubricating of switches (lubricating of rails B61K0003000000)
E01B0007280000;Crossings
E01B0007300000;Jump-over crossings
E01B0009000000;Fastening rails on sleepers, or the like (fastening rails to bridges E01D0019120000)
E01B0009020000;Fastening rails, tie-plates, or chairs directly on sleepers or foundations. Means therefor
E01B0009040000;Fastening on wooden or concrete sleepers or on masonry without clamp members
E01B0009060000;Railways spikes (nails in general F16B)
E01B0009080000;Elastic spikes
E01B0009100000;Screws or bolts for sleepers (screws or bolts in general F16B)
E01B0009120000;Retaining or locking devices for spikes or screws
E01B0009140000;Plugs, sleeves, thread linings, or other inserts for holes in sleepers (inserting plugs or sleeves E01B0031260000)
E01B0009160000;for wooden sleepers
E01B0009180000;for concrete sleepers
E01B0009200000;by keys
E01B0009220000;Fastening on steel sleepers without clamp members
E01B0009240000;by keys
E01B0009260000;Welded fastenings
E01B0009280000;Fastening on wooden or concrete sleepers or on masonry with clamp members
E01B0009300000;by resilient steel clips
E01B0009320000;Fastening on steel sleepers with clamp members
E01B0009340000;by resilient steel clips
E01B0009360000;Metal sole-plates for rails which rails are directly fastened to sleepers
E01B0009380000;Indirect fastening of rails by using tie-plates or chairs. Fastening of rails on the tie-plates or in the chairs
E01B0009400000;Tie-plates for flat-bottom rails (manufacture thereof B21)
E01B0009420000;of two or more parts
E01B0009440000;Fastening the rail on the tie-plate
E01B0009460000;by clamps
E01B0009480000;by resilient steel clips
E01B0009500000;by keys
E01B0009520000;by resilient keys
E01B0009540000;Rail chairs
E01B0009560000;for rails with two or more treads
E01B0009580000;Fastening the rail in the chair
E01B0009600000;Rail fastenings making use of clamps or braces supporting the side or head of the rail
E01B0009620000;Rail fastenings incorporating resilient supports
E01B0009640000;Rail fastenings gripping or encircling the sleeper
E01B0009660000;Rail fastenings allowing the adjustment of the position of the rails, so far as not covered by the preceding groups
E01B0009680000;Pads or the like, e.g. of wood, rubber, placed under the rail, tie-plate, or chair
E01B0011000000;Rail joints (electrical connection of rails B60M0005000000)
E01B0011020000;Dismountable rail joints
E01B0011040000;Flat fishplates
E01B0011060000;with keys or pins
E01B0011080000;Angle fishplates
E01B0011100000;Fishplates with parts supporting or surrounding the rail foot
E01B0011120000;Fishplates engaging only the rail foot
E01B0011140000;Rail foot flange clips in one piece
E01B0011160000;Fishplates for joining rails of different sections
E01B0011180000;Fishplates for temporarily repairing broken rails
E01B0011200000;with gap-bridging
E01B0011220000;by parts of the rails
E01B0011240000;with oblique or overlapping rail ends
E01B0011260000;with interlocking rail ends
E01B0011280000;by parts of the joining members
E01B0011300000;Fishplates with integral tread parts lying in the cross-section of the rail head
E01B0011320000;by separate parts. Inserts bridging both rail heads
E01B0011340000;Auxiliary rail beside the gap
E01B0011360000;Fastening means for fishplates
E01B0011380000;Locking arrangements for fastening means (locking means for nuts or bolts in general F16B)
E01B0011400000;Dismountable rail joints combined with welded parts
E01B0011420000;Joint constructions for relatively movable rails, e.g. rails on turntables, traversers, or swing bridges
E01B0011440000;Non-dismountable rail joints. Welded joints (welding methods B23K)
E01B0011460000;General methods for making gapless tracks
E01B0011480000;Joints made by flame welding
E01B0011500000;Joints made by electric welding
E01B0011520000;Joints made by alumino-thermal welding
E01B0011540000;Electrically-insulating rail joints
E01B0011560000;Special arrangements for supporting rail ends (foot supports E01B0011080000-E01B0011140000)
E01B0011580000;Bridge plates
E01B0011600000;with wedges
E01B0011620000;Bridge chairs (chairs E01B0009540000-E01B0009580000)
E01B0013000000;Arrangements preventing shifting of the track
E01B0013020000;Rail anchors
E01B0015000000;Guards for preventing a person's foot being trapped in grooved rails
E01B0017000000;Cattle guards connected to the permanent way (grids in general for preventing cattle from straying A01K0003000000)
E01B0019000000;Protection of permanent way against development of dust or against the effect of wind, sun, frost, or corrosion. Means to reduce development of noise (snow fences E01F0007020000. snow-ploughs E01H0008020000. watering E01H0011000000)
E01B0021000000;Track superstructure specially adapted for tramways in paved streets (paving E01C0009040000, E01C0009060000)
E01B0021020000;Special supporting means. Draining of rails
E01B0021040000;Special fastenings, joint constructions, or tie-rods
E01B0023000000;Easily dismountable or movable tracks, e.g. temporary railways. Details specially adapted therefor
E01B0023020000;Tracks for light railways, e.g. for field, colliery, or mine use
E01B0023040000;Fastening or joining means
E01B0023060000;Switches (turntables B60S, B61J). Portable switches. Turnouts
E01B0023080000;Temporary tracks for use while repairing tramways
E01B0023100000;Shiftable tracks for heavy loads, e.g. carrying excavators
E01B0023120000;Sleepers
E01B0023140000;Fastening or joining means (fastening of rails by keys E01B0009240000)
E01B0023160000;Switches
E01B0025000000;Tracks for special kinds of railways (systems B61B. wheel tracks on roads E01C0009020000)
E01B0025020000;Tracks for rack railways
E01B0025040000;Rack rails. Supports or connections for rack rails
E01B0025060000;Switches. Frogs. Crossings
E01B0025080000;Tracks for mono-rails with centre of gravity of vehicle above the load-bearing rail (E01B0025300000 takes precedence)..
E01B0025100000;Mono-rails. Auxiliary balancing rails. Supports or connections for rails
E01B0025120000;Switches. Crossings
E01B0025140000;Tracks for cable-drawn railway vehicles
E01B0025150000;Switches. Crossings
E01B0025160000;Tracks for aerial rope railways with a stationary rope
E01B0025180000;Ropes. Supports, fastening or straining means for ropes (ropes in general D07B. masts E04H0012000000. rope sockets F16G)
E01B0025200000;Switches. Crossings
E01B0025220000;Tracks for railways with the vehicle suspended from rigid supporting rails
E01B0025240000;Supporting rails. Auxiliary balancing rails. Supports or connections for rails
E01B0025260000;Switches. Crossings
E01B0025280000;Rail tracks for guiding vehicles when running on road or similar surface (wheel tracks on roads E01C0009020000)
E01B0025300000;Tracks for magnetic suspension or levitation vehicles
E01B0025320000;Stators, guide rails or slide rails
E01B0025340000;Switches. Frogs. Crossings
E01B0026000000;Tracks or track components not covered by any one of main groups . E01B0001000000-E01B0025000000
E01B0027000000;Making, maintaining, renewing, or taking-up the ballastway or the track. Tools or machines specially designed therefor
E01B0027000000;Placing, renewing, working, cleaning, or taking-up the ballast, with or without concurrent work on the track. Devices therefor. Packing sleepers
E01B0027020000;Placing the ballast. Making the ballastway. Redistributing ballasting material. Machines or devices therefor. Levelling means
E01B0027040000;Removing the ballast. Machines therefor, whether or not additionally adapted for taking-up ballast (E01B0027060000, E01B0027120000 take precedence.redistributing ballasting material E01B0027020000)
E01B0027060000;Renewing or cleaning the ballast . in situ, with or without concurrent work on the track
E01B0027080000;the track having been taken-up (E01B0027110000 takes precedence)..
E01B0027100000;without taking-up the track (E01B0027110000 takes precedence)..
E01B0027110000;combined with concurrent renewal of track components
E01B0027120000;Packing sleepers, with or without concurrent work on the track. Compacting track-carrying ballast
E01B0027130000;Packing sleepers, with or without concurrent work on the track (preforming ballast cores or seats for sleepers E01B0027020000)
E01B0027140000;Manual tools or hand-held power tools therefor
E01B0027160000;Machines therefor, e.g. so-called sleeper-tamping machines
E01B0027170000;combined with means for lifting, levelling, or slewing the track
E01B0027180000;by introducing additional fresh material under the sleepers, e.g. by the measured-shovel method, by the blowing method
E01B0027200000;Compacting the material of the track-carrying ballastway, e.g. by vibrating the track, by surface vibrators (of trackless ballastway E01B0027020000. for packing sleepers E01B0027120000)
E01B0029000000;Laying, rebuilding, or taking-up tracks. Tools or machines therefor (E01B0027000000, E01B0031000000 take precedence)..
E01B0029020000;Transporting, laying, removing, or renewing lengths of assembled track, assembled switches, or assembled crossings (E01B0029040000 takes precedence)..
E01B0029040000;Lifting or levelling of tracks (lifting devices in general B66F)
E01B0029050000;Transporting, laying, removing, or renewing both rails and sleepers (as assembled units E01B0029020000)
E01B0029060000;Transporting, laying, removing, or renewing sleepers (E01B0029050000 takes precedence.carrying devices B65G0007120000)
E01B0029090000;under, or from under, installed rails
E01B0029100000;for inserting or removing sleepers
E01B0029110000;Removal involving destruction of the sleeper, e.g. the sectioning thereof
E01B0029130000;for moving sleepers in a direction parallel to the rails, e.g. for spacing or aligning them (E01B0029100000 takes precedence)..
E01B0029140000;for lifting sleepers up to the rails (lifting devices in general B66F)
E01B0029160000;Transporting, laying, removing, or replacing rails. Moving rails placed on sleepers in the track (E01B0029050000 takes precedence.moving or tilting heavy loads in general B65G0007000000)
E01B0029170000;Lengths of rails assembled into strings, e.g. welded together
E01B0029200000;Moving rails placed on installed sleepers in the plane of the track
E01B0029220000;Raising rails from sleepers, e.g. for inserting sole-plates (lifting devices in general B66F)
E01B0029240000;Fixing or removing detachable fastening means or accessories thereof. Pre-assembling track components by detachable fastening means (E01B0029020000, E01B0031260000 take precedence)..
E01B0029260000;the fastening means being spikes (E01B0029160000 takes precedence.hand-held tools for nail or staple driving or extracting B25C)
E01B0029280000;the fastening means being of screw-and-nut type (portable apparatus for fixing or removing screws or the like B25B). Apparatus therefor, adapted to additionally drilling holes
E01B0029290000;for horizontally-arranged fastening elements, e.g. fish-bolts
E01B0029320000;Installing or removing track components, not covered by the preceding groups, e.g. sole-plates, rail anchors (E01B0031260000 takes precedence)..
E01B0029400000;Means or arrangements for temporarily supporting laid tracks, or rails or sleepers in the track (temporary fishplates E01B0011180000)
E01B0029420000;Undetachably joining or fastening track components in or on the track, e.g. by welding, by gluing. Pre-assembling track components by gluing. Sealing joints with filling components (E01B0031260000 takes precedence.independent heating means E01B0031180000. welding in general B23K. gluing metal parts in general F16B0011000000)
E01B0029440000;Methods for effecting joining of rails in the track, e.g. taking account of ambient temperature
E01B0029460000;Devices for holding, positioning, or urging together the rail ends (adjusting the joint by moving rails E01B0029200000)
E01B0031000000;Working rails, sleepers, baseplates, or the like, in or on the line. Machines, tools, or auxiliary devices specially designed therefor (characterised by features independent of use on assembled track B21, B23-B25, B27)
E01B0031020000;Working rail or other metal track components on the spot
E01B0031040000;Sectioning or slitting, e.g. by sawing, shearing, flame-cutting
E01B0031060000;Making holes, e.g. by drilling, punching, flame-cutting
E01B0031080000;Bending, e.g. for straightening rails or rail joints (for aligning rail ends to be welded E01B0029460000)
E01B0031120000;Removing metal from rails, rail joints, or baseplates, e.g. for deburring welds, reconditioning worn rails
E01B0031130000;by milling
E01B0031150000;by planing or filing
E01B0031170000;by grinding
E01B0031180000;Reconditioning or repairing worn or damaged parts on the spot, e.g. applying inlays, building-up rails by welding (E01B0031040000-E01B0031120000.  take precedence)..Heating or cooling of parts on the spot, e.g. for reducing joint gaps, for hardening rails
E01B0031200000;Working or treating non-metal sleepers in or on the line, e.g. marking, creosoting (working metal sleepers E01B0031020000)
E01B0031220000;Cutting or grinding wooden sleepers, e.g. for forming rail seats (E01B0031240000 takes precedence)..
E01B0031230000;Sectioning (combined with removal of segments from track E01B0029110000)
E01B0031240000;Forming, treating, reconditioning, or cleaning holes in sleepers. Drilling-templates (E01B0029280000, E01B0031260000 take precedence)..
E01B0031260000;Inserting or removing inserts or fillings for holes in sleepers, e.g. plugs, sleeves
E01B0031280000;Applying or removing anti-splitting or like reinforcing means (E01B0031260000 takes precedence.straps or bands therefor E01B0003080000)
E01B0033000000;Machines or devices for shifting tracks, with or without lifting, e.g. for aligning track, for shifting excavator track (combined with sleeper packing machines E01B0027170000)
E01B0033020000;for slewing, i.e. transversely shifting, in steps
E01B0033040000;Manual tools. Devices not mounted on vehicles
E01B0033060000;for slewing in a continuous operation, e.g. for tracks which carry excavators
E01B0033080000;Boom track-slewing machines
E01B0033100000;Bridge track-slewing machines
E01B0033120000;Combined boom and bridge track-slewing machines
E01B0033180000;Details not peculiar to a particular type of machine
E01B0033210000;Arrangement or construction of rollers moving the rails
E01B0035000000;Applications of measuring apparatus or devices for track-building purposes (apparatus on locomotives or cars to indicate or record bad track sections B61K0009000000. measuring angles, linear dimensions, or irregularities in general G01B, G01C)
E01B0035020000;for spacing. for cross levelling. for laying-out curves
E01B0035040000;Wheeled apparatus
E01B0035060000;for measuring irregularities in longitudinal direction
E01B0035080000;for levelling
E01B0035100000;for aligning
E01B0035120000;for measuring movement of the track or of components thereof under rolling loads, e.g. depression of sleepers, increase of gauge
E01B0037000000;Making, maintaining, renewing, or taking-up the ballastway or the track, not provided for in a single one of groups . E01B0027000000-E01B0035000000
E01C;CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE. MACHINES OR AUXILIARY TOOLS FOR CONSTRUCTION OR REPAIR (forming road or like surfaces by compacting or grading snow or ice E01H)
E01C0001000000;Design or layout of roads, e.g. for noise abatement, for gas absorption (design or layout of sports grounds A63C0019000000. design or layout of airfields B64F)
E01C0001020000;Crossings, junctions, or interconnections between roads on the same level
E01C0001040000;Road crossings on different levels. Interconnections between roads on different levels
E01C0003000000;Structure of roads, playgrounds, sports grounds, airfields
E01C0003000000;Foundations for pavings (specially adapted for playgrounds or sports grounds E01C0013020000. foundations in general E02D)
E01C0003020000;Concrete base for bituminous paving
E01C0003040000;Foundations produced by soil stabilisation
E01C0003060000;Methods or arrangements for protecting foundations from destructive influences of moisture, frost or vibration
E01C0005000000;Pavings made of prefabricated single units (specially adapted for playgrounds or sports grounds E01C0013040000, for footpaths, sidewalks or cycle tracks E01C0015000000. making artificial stones C04B. building stones E04C. flooring E04F)
E01C0005020000;made of natural stones, e.g. sett stones
E01C0005040000;made of bricks
E01C0005060000;made of units with cement or like binders
E01C0005080000;Reinforced units
E01C0005100000;Prestressed reinforced units
E01C0005120000;made of units with bituminous binders
E01C0005140000;made of wooden units
E01C0005160000;made of metallic units (steel gratings E01C0009100000)
E01C0005180000;made of rubber units
E01C0005200000;made of units of plastics (E01C0005180000 takes precedence)..
E01C0005220000;made of units composed of a mixture of materials covered by two or more of groups . E01C0005020000-E01C0005200000
E01C0007000000;Coherent pavings made  in situ(specially adapted for playgrounds or sports grounds E01C0013060000, for footpaths, sidewalks or cycle tracks E01C0015000000)
E01C0007020000;made of road-metal without binders
E01C0007040000;of broken stones, gravel, or like materials
E01C0007060000;by melting, burning, or vitrifying road-metal . in situ
E01C0007080000;made of road-metal and binders
E01C0007100000;of road-metal and cement or like binders (cement or like binders, composition of mortars C04B)
E01C0007120000;Mortar-bound paving
E01C0007140000;Concrete paving
E01C0007160000;Prestressed concrete paving
E01C0007180000;of road-metal and bituminous binders
E01C0007200000;Binder incorporated in cold state, e.g. natural asphalt
E01C0007220000;Binder incorporated in hot state, e.g. heated bitumen
E01C0007240000;Binder incorporated as an emulsion or solution (making dispersions or emulsions for road building C04B)
E01C0007260000;mixed with other materials, e.g. cement, rubber, leather, fibre
E01C0007300000;of road-metal and other binders, e.g. synthetic material
E01C0007320000;of courses of different kind made . in situ
E01C0007340000;made of several courses which are not bound to each other
E01C0007350000;Topping or surface dressings. Methods of mixing, impregnating, or spreading them
E01C0007360000;by subjecting soil to stabilisation
E01C0009000000;Special pavings (specially adapted for playgrounds or sports grounds E01C0013000000, for footpaths, sidewalks or cycle tracks E01C0015000000). Pavings for special parts of roads or airfields (pavement lights E01C0017000000. manholes or like covers or frames E02D0029140000)
E01C0009020000;Wheel tracks (rail tracks for guiding vehicles E01B0025280000)
E01C0009040000;Pavings for railroad level-crossings
E01C0009060000;Pavings adjacent tramways rails
E01C0009080000;Temporary pavings (steel gratings E01C0009100000)
E01C0009100000;Steel gratings (gully gratings E03F0005060000. as building elements in general E04C)
E01C0011000000;Details of pavings
E01C0011020000;Arrangement or construction of joints. Methods of making joints. Packing for joints (sealing joints not restricted to road or airfield paving E04B0001680000)
E01C0011040000;for cement concrete paving
E01C0011060000;Methods of making joints
E01C0011080000;Packing of metal
E01C0011100000;Packing of plastic or elastic materials
E01C0011120000;Packing of metal and plastic or elastic materials
E01C0011140000;Dowel assembly
E01C0011160000;Reinforcements (for building in general E04C)
E01C0011180000;for cement concrete pavings
E01C0011200000;for prestressed concrete pavings
E01C0011220000;Gutters. Kerbs (kerbs specially adapted for informing road users E01F0009053000)
E01C0011240000;Methods or arrangements for preventing slipperiness or protecting against influences of the weather
E01C0011260000;Permanently-installed heating or blowing devices
E01C0013000000;Pavings or foundations specially adapted for playgrounds or sports grounds (general layout A63C0019000000)
E01C0013020000;Foundations, e.g. with drainage or heating arrangements
E01C0013040000;Pavings made of prefabricated single units (E01C0013080000, E01C0013100000 take precedence)..
E01C0013060000;Pavings made  in situ(E01C0013080000, E01C0013100000 take precedence)..
E01C0013080000;Surfaces simulating grass
E01C0013100000;for artificial surfaces for outdoor or indoor practice of snow or ice sports (E01C0013080000 takes precedence.production of snow or ice for winter sports or similar recreational purposes F25C0003000000)
E01C0013120000;for snow sports
E01C0015000000;Pavings specially adapted for footpaths, sidewalks, or cycle tracks
E01C0017000000;Pavement lights, i.e. translucent constructions forming part of the surface (blocks specially designed for marking roads E01F0009040000)
E01C0019000000;Machines, tools or auxiliary devices for constructing or repairing the surfacing of roads or like structures
E01C0019000000;Machines, tools, or auxiliary devices for preparing or distributing paving materials, for working the placed materials, or for forming, consolidating, or finishing the paving (surface stabilisation E01C0021000000. apparatus specially adapted for reconditioning or repairing paving E01C0023000000)
E01C0019020000;for preparing the materials
E01C0019050000;Crushing, pulverising, or disintegrating apparatus (in general B02C). Aggregate screening, cleaning, or heating apparatus
E01C0019080000;Apparatus for transporting and melting asphalt, bitumen, tar, or the like (stationarily-arranged melting boilers for tar, asphalt, or the like, in general C10C0003120000)
E01C0019100000;Apparatus or plants for premixing or precoating aggregate or fillers with non-hydraulic binders, e.g. with bitumen, with resins. Apparatus for premixing non-hydraulic mixtures prior to placing or for reconditioning salvaged non-hydraulic compositions
E01C0019120000;for distributing granular or liquid materials (E01C0023070000 takes precedence.for filling joints or grooves E01C0023020000, E01C0023090000)
E01C0019150000;for laying-down uncoated stone or similar materials, or for striking-off or spreading same without compacting, e.g. for crushed rock base courses, sand cushions for paving (E01C0019520000 takes precedence.distributing E01C0019200000)
E01C0019160000;for applying or spreading liquid materials, e.g. bitumen slurries (E01C0019450000, E01C0023020000, E01C0023030000, E01C0023160000 take precedence.spraying or spreading liquids or other fluent materials to surfaces in general B05)
E01C0019170000;Application by spraying
E01C0019180000;Devices for distributing road-metals mixed with binders, e.g. cement, bitumen, without consolidating or ironing effect (E01C0019200000, E01C0019470000 take precedence.conveying installations for concrete or the like B65G)
E01C0019200000;Apparatus for distributing, e.g. spreading, granular or pulverulent materials, e.g. sand, gravel, salt, dry binders (fertiliser distributors A01C0015000000)
E01C0019210000;for simultaneously but separately applying liquid material and granular or pulverulent material, e.g. bitumen and grit, with or without spreading
E01C0019220000;for consolidating or finishing laid-down unset materials (E01C0023020000 takes precedence.apparatus for generating vibrations in general B06B)
E01C0019230000;Rollers therefor. Such rollers usable also for compacting soil (E01C0019430000 takes precedence.specially adapted for agricultural purposes A01B0029000000. garden rollers A01G0001120000. making or maintaining surfaces of snow or ice E01H0004000000. solely for soil compaction E02D0003026000)
E01C0019240000;hand propelled (E01C0019270000-E01C0019290000.  take precedence)..
E01C0019250000;propelled by animals or vehicles (E01C0019260000-E01C0019290000.  take precedence)..
E01C0019260000;self-propelled or fitted to road vehicles (E01C0019270000-E01C0019290000.  take precedence)..
E01C0019270000;with elastically-deformable rolling elements, e.g. pneumatic tyres (vibrating or impacting E01C0019280000)
E01C0019280000;Vibrated rollers or rollers subjected to impacts, e.g. hammering blows (E01C0019290000 takes precedence)..
E01C0019290000;Rolling apparatus adapted to apply a rolling pressure less than its weight, e.g. roller finishers travelling on formrails
E01C0019300000;Tamping or vibrating apparatus other than rollers (E01C0023020000, E01C0023040000 take precedence.vibrated depositing devices E01C0019120000. tamping or vibrating rollers E01C0019280000. portable percussion tools in general B25D. tamping or vibrating soil in general E02D0003046000)
E01C0019320000;Hand-held hand-actuated rammers or tampers
E01C0019340000;Power-driven rammers or tampers
E01C0019350000;Hand-held or hand-guided tools (E01C0019360000-E01C0019400000.  take precedence)..
E01C0019360000;with direct-acting explosion chambers
E01C0019380000;with means specifically for generating vibrations
E01C0019400000;adapted to impart a smooth finish to the paving, e.g. tamping or vibrating finishers
E01C0019410000;Apparatus having both rolling tools and ramming, tamping, or vibrating tools
E01C0019420000;Machines for imparting a smooth finish to freshly-laid paving courses other than by rolling, tamping, or vibrating (for distributing only E01C0019120000)
E01C0019430000;Machines or arrangements for roughening or patterning freshly-laid paving courses, e.g. indenting rollers
E01C0019440000;Hand-actuated tools other than rollers, dampers, or vibrators, specially adapted for imparting a required surface finish to freshly-laid paving courses (E01C0019430000 takes precedence)..
E01C0019450000;Portable apparatus for preparing, or for preparing and applying to the road, compound liquid binders, e.g. emulsified bitumen, fluxed asphalt (applying only E01C0019160000)
E01C0019460000;for preparing and placing the materials (E01C0019450000 takes precedence.making surfaces by mixing borrowed aggregate with binders E01C0021000000)
E01C0019470000;Hydraulic cement concrete mixers combined with distributing means specially adapted for road building (concrete mixers per seB28C)
E01C0019480000;for laying-down the materials and consolidating them, or finishing the surface
E01C0019500000;Removable forms or shutterings for road-building purposes (E01C0023020000, E01C0023040000 take precedence.permanent forms E01C0003000000-E01C0007000000. slip forms E01C0019480000). Devices or arrangements for forming individual paving elements, e.g. kerbs, . in situ
E01C0019520000;Apparatus for laying individual preformed surface elements, e.g. kerbs (preforming and placing continuous strip E01C0019460000. forming paving elements in situE01C0019500000)
E01C0021000000;Apparatus or processes for surface stabilisation for road building or like purposes, e.g. mixing borrowed aggregate with binder (stabilising soil under existing surfacing E01C0023100000. soil-conditioning or soil-stabilising materials C09K0017000000. soil-consolidation in general E02D0003120000)
E01C0021020000;Fusing, calcining, or burning soil . in situ
E01C0023000000;Auxiliary devices or arrangements for constructing, repairing, reconditioning, or taking-up road or like surfaces (apparatus for reconditioning of salvaged non-hydraulic compositions E01C0019100000)
E01C0023010000;Devices or auxiliary means for setting-out or checking the configuration of new surfacing, e.g. templates, screed supports (form rails E01C0019500000). Applications of apparatus for measuring, indicating, or recording the surface configuration of existing surfacing, e.g. profilographs (E01C0023070000 takes precedence.measuring roughness or irregularity in general G01B)
E01C0023020000;Devices for making, treating, or filling grooves or like channels in not-yet-hardened paving, e.g. for joints or markings (surface patterning E01C0019430000). Removable forms therefor (non-removable forms E01C0011020000). Devices for introducing inserts or removable insert-supports in not-yet-hardened paving (E01C0023040000 takes precedence.non-removable insert supports E01C0011020000)
E01C0023030000;Arrangements for curing paving. Devices for applying curing means. Devices for laying prefabricated underlay, e.g. sheets, membranes (reinforcing elements E01C0023040000). Protecting paving under construction or while curing, e.g. use of tents (road barriers E01F0013000000)
E01C0023040000;Devices for laying reinforcing elements or dowel bars. Removable supports for reinforcing elements (non-removable supports therefor E01C0011160000. side forms adapted to supporting reinforcement E01C0019500000). Devices, e.g. removable forms, for making essentially horizontal ducts in paving, e.g. for prestressed reinforcement
E01C0023050000;Devices for installing or removing forms
E01C0023060000;Devices or arrangements for working the finished surface (working freshly-laid paving E01C0019420000-E01C0019440000, E01C0023020000. mining picks E21C0035180000). Devices for repairing the surface of damaged paving
E01C0023070000;Apparatus combining measurement of the surface configuration of paving with application of material in proportion to the measured irregularities (measuring means only E01C0023010000)
E01C0023080000;for roughening or patterning. for removing high spots or material bonded to the surface, e.g. markings (removing matter not bonded to the surface E01H0001000000. roughening or detaching ice E01H0005120000)
E01C0023082000;using non-powered tools
E01C0023085000;using power-driven tools, e.g. vibratory tools
E01C0023088000;Rotary tools, e.g. milling drums
E01C0023090000;for forming cuts, grooves, or recesses, e.g. for making joints or channels for markings, for cutting-out sections to be removed. for cleaning, treating, or filling cuts, grooves, recesses, or fissures. for trimming paving edges
E01C0023100000;for raising or levelling sunken paving. for filling voids under paving. for introducing material into substructure (consolidating soil in general E02D0003120000)
E01C0023120000;for taking-up, tearing-up, or breaking-up paving (adapted to both placing and removing paving E01C0019520000)
E01C0023140000;for heating or drying foundation, paving, or materials thereon, e.g. paint (E01C0023030000 takes precedence.heating or drying devices incorporated in the paving E01C0011260000. surface stabilisation by fusing, calcining, or burning soil in situE01C0021020000. for street cleaning E01H0001080000. melting snow or ice on surfacing E01H0005100000)
E01C0023160000;Devices for marking-out, applying, or forming traffic or like markings on finished paving (E01C0023140000 takes precedence.inserting or forming in not-yet-hardened paving E01C0023020000, in recesses formed in fully-set paving E01C0023090000. marking-out playing courts or playgrounds A63C0019060000. applying liquids or other fluent materials to surfaces in general B05. road surface markings per seE01F0009040000). Protecting fresh markings
E01C0023180000;for applying prefabricated markings
E01C0023200000;for forming markings . in situ
E01C0023220000;by spraying
E01C0023240000;by pouring
