C;SECTION C CHEMISTRY METALLURGY
C01B0017800000;Apparatus
C01B0017820000;of sulfuric acid using a nitrogen oxide process
C01B0017840000;Chamber process
C01B0017860000;Tower process
C01B0017880000;Concentration of sulfuric acid
C01B0017900000;Separation. Purification
C01B0017920000;Recovery from acid tar or the like
C01B0017940000;Recovery from nitration acids
C01B0017960000;Methods for the preparation of sulfates in general (particular individual sulfates, see the relevant groups of subclasses C01B-C01G, according to the cation)..
C01B0017980000;Other compounds containing sulfur and oxygen (persulfuric acids C01B0015060000. persulfates C01B0015080000)
C01B0019000000;Selenium. Tellurium. Compounds thereof
C01B0019020000;Elemental selenium or tellurium
C01B0019040000;Binary compounds
C01B0021000000;Nitrogen. Compounds thereof
C01B0021020000;Preparation of nitrogen (by decomposition of ammonia C01B0003040000)
C01B0021040000;Purification or separation of nitrogen (by liquefying F25J)
C01B0021060000;Binary compounds of nitrogen with metals, with silicon, or with boron
C01B0021064000;with boron
C01B0021068000;with silicon
C01B0021072000;with aluminium
C01B0021076000;with titanium or zirconium
C01B0021080000;Hydrazoic acid. Azides. Halogen azides
C01B0021082000;Compounds containing nitrogen and non-metals (C01B0021060000, C01B0021080000 take precedence)..
C01B0021083000;containing one or more halogen atoms
C01B0021084000;containing also one or more oxygen atoms, e.g. nitrosyl halides
C01B0021086000;containing one or more sulfur atoms
C01B0021087000;containing one or more hydrogen atoms
C01B0021088000;containing also one or more halogen atoms
C01B0021090000;Halogeno-amines, e.g. chloramine
C01B0021092000;containing also one or more metal atoms
C01B0021093000;containing also one or more sulfur atoms
C01B0021094000;Nitrosyl containing acids
C01B0021096000;Amidosulfonic acid. Salts thereof
C01B0021097000;containing phosphorus atoms
C01B0021098000;Phosphonitrilic dihalides. Polymers thereof
C01B0021120000;Carbamic acid. Salts thereof
C01B0021140000;Hydroxylamine. Salts thereof
C01B0021160000;Hydrazine. Salts thereof
C01B0021200000;Nitrogen oxides. Oxyacids of nitrogen. Salts thereof
C01B0021220000;Nitrous oxide (N. 2O)
C01B0021240000;Nitric oxide (NO)
C01B0021260000;Preparation by catalytic oxidation of ammonia
C01B0021280000;Apparatus
C01B0021300000;Preparation by oxidation of nitrogen
C01B0021320000;Apparatus
C01B0021340000;Nitrogen trioxide (N. 2O3)
C01B0021360000;Nitrogen dioxide (NO 2, N2O4)(C01B0021260000, C01B0021300000 take precedence)..
C01B0021380000;Nitric acid
C01B0021400000;Preparation by absorption of oxides of nitrogen
C01B0021420000;Preparation from nitrates
C01B0021440000;Concentration
C01B0021460000;Purification. Separation
C01B0021480000;Methods for the preparation of nitrates in general (particular individual nitrates, see the relevant groups of subclasses C01B-C01G, according to the cation)..
C01B0021500000;Nitrous acid. Salts thereof
C01B0023000000;Noble gases. Compounds thereof (liquefying F25J)
C01B0025000000;Phosphorus. Compounds thereof (C01B0021000000, C01B0023000000 take precedence.perphosphates C01B0015160000)
C01B0025010000;Treating phosphate ores or other raw phosphate materials to obtain phosphorus or phosphorus compounds
C01B0025020000;Preparation of phosphorus
C01B0025023000;of red phosphorus
C01B0025027000;of yellow phosphorus
C01B0025040000;Purification of phosphorus
C01B0025043000;of red phosphorus
C01B0025047000;of yellow phosphorus
C01B0025060000;Hydrogen phosphides
C01B0025080000;Other phosphides
C01B0025100000;Halides or oxyhalides of phosphorus
C01B0025120000;Oxides of phosphorus
C01B0025140000;Sulfur, selenium, or tellurium compounds of phosphorus
C01B0025160000;Oxyacids of phosphorus. Salts thereof (peroxyacids or salts thereof C01B0015000000)
C01B0025163000;Phosphorous acid. Salts thereof
C01B0025165000;Hypophosphorous acid. Salts thereof
C01B0025168000;Pyrophosphorous acid. Salts thereof
C01B0025180000;Phosphoric acid
C01B0025200000;Preparation from elemental phosphorus or phosphoric anhydride
C01B0025220000;Preparation by reacting phosphate containing material with an acid, e.g. wet process
C01B0025222000;with sulfuric acid, a mixture of acids mainly consisting of sulfuric acid or a mixture of compounds forming it . in situ, e.g. a mixture of sulfur dioxide, water and oxygen
C01B0025223000;only one form of calcium sulfate being formed
C01B0025225000;Dihydrate process
C01B0025226000;Hemihydrate process
C01B0025228000;one form of calcium sulfate being formed and then converted to another form
C01B0025229000;Hemihydrate-dihydrate process
C01B0025231000;Dihydrate-hemihydrate process
C01B0025232000;Preparation by reacting phosphate containing material with concentrated sulfuric acid and subsequently lixiviating the obtained mass, e.g. clincker process
C01B0025234000;Purification. Stabilisation. Concentration (purification concomitant with preparation C01B0025220000. preparation involving solvent-solvent extraction C01B0025460000)
C01B0025235000;Clarification. Stabilisation to prevent post-precipitation of dissolved impurities
C01B0025237000;Selective elimination of impurities
C01B0025238000;Cationic impurities
C01B0025240000;Condensed phosphoric acids
C01B0025260000;Phosphates (perphosphates C01B0015160000)
C01B0025280000;Ammonium phosphates
C01B0025300000;Alkali metal phosphates
C01B0025320000;Phosphates of magnesium, calcium, strontium, or barium
C01B0025340000;Magnesium phosphates
C01B0025360000;Aluminium phosphates
C01B0025370000;Phosphates of heavy metals
C01B0025380000;Condensed phosphates
C01B0025390000;of alkali metals
C01B0025400000;Polyphosphates
C01B0025410000;of alkali metals
C01B0025420000;Pyrophosphates
C01B0025440000;Metaphosphates
C01B0025445000;of alkali metals
C01B0025450000;containing plural metal, or metal and ammonium
C01B0025455000;containing halogen
C01B0025460000;Preparation involving solvent-solvent extraction
C01B0031000000;Carbon. Compounds thereof (C01B0021000000, C01B0023000000¶ÿtake precedence.percarbonates C01B0015100000. carbon black C09C0001480000)
C01B0031020000;Preparation of carbon (by using ultra-high pressure, e.g. for the formation of diamonds, B01J0003060000. by crystal growth C30B). Purification
C01B0031040000;Graphite
C01B0031060000;Diamond
C01B0031080000;Active carbon
C01B0031100000;Preparation by using gaseous activating agents
C01B0031120000;Preparation by using non-gaseous activating agents
C01B0031140000;Granulation
C01B0031160000;Preparation of ion-exchanging materials from carbonaceous material
C01B0031180000;Carbon monoxide
C01B0031200000;Carbon dioxide
C01B0031220000;Solidifying
C01B0031240000;Methods for the preparation of carbonates or bicarbonates in general (percarbonates C01B0015100000. particular individual carbonates, see the relevant groups of subclasses C01B-C01G, according to the cation).
C01B0031260000;Compounds containing carbon and sulfur, e.g. carbon disulfide, carbon oxysulfide. Thiophosgene
C01B0031280000;Phosgene
C01B0031300000;Carbides
C01B0031320000;Calcium carbide
C01B0031340000;Tungsten or molybdenum carbides
C01B0031360000;Carbides of silicon or boron
C01B0033000000;Silicon. Compounds thereof (C01B0021000000, C01B0023000000 take precedence.persilicates C01B0015140000. carbides C01B0031360000)
C01B0033020000;Silicon (forming single crystals or homogeneous polycrystalline material with defined structure C30B)
C01B0033021000;Preparation (chemical coating from the vapour phase C23C0016000000)
C01B0033023000;by reduction of silica or silica-containing material
C01B0033025000;with carbon or a solid carbonaceous material, i.e. carbo-thermal process
C01B0033027000;by decomposition or reduction of gaseous or vaporised silicon compounds other than silica or silica-containing material
C01B0033029000;by decomposition of monosilane
C01B0033030000;by decomposition of silicon halides or halosilanes or reduction thereof with hydrogen as the only reducing agent
C01B0033031000;by decomposition of silicon tetraiodide
C01B0033033000;by reduction of silicon halides or halosilanes with a metal or a metallic alloy as the only reducing agents
C01B0033035000;by decomposition or reduction of gaseous or vaporised silicon compounds in the presence of heated filaments of silicon, carbon or a refractory metal, e.g. tantalum or tungsten, or in the presence of heated silicon rods on which the formed silicon is deposited, a silicon rod being obtained, e.g. Siemens process
C01B0033037000;Purification (by zone-melting C30B0013000000)
C01B0033039000;by conversion of the silicon into a compound, optional purification of the compound, and reconversion into silicon
C01B0033040000;Hydrides of silicon
C01B0033060000;Metal silicides
C01B0033080000;Compounds containing halogen
C01B0033100000;Compounds containing silicon, fluorine, and other elements
C01B0033107000;Halogenated silanes
C01B0033113000;Silicon oxides. Hydrates thereof
C01B0033120000;Silica. Hydrates thereof, e.g. lepidoic silicic acid
C01B0033140000;Colloidal silica, e.g. dispersions, gels, sols
C01B0033141000;Preparation of hydrosols or aqueous dispersions
C01B0033142000;by acidic treatment of silicates
C01B0033143000;of aqueous solutions of silicates
C01B0033145000;Preparation of hydroorganosols, organosols or dispersions in an organic medium
C01B0033146000;After-treatment of sols (preparation of hydroorganosols, organosols or dispersions in an organic medium from hydrosols C01B0033145000)
C01B0033148000;Concentration. Drying. Dehydration. Stabilisation. Purification
C01B0033149000;Coating
C01B0033151000;"by progressively adding a sol to a different sol, i.e. ""build up"" of particles using a ""heel"""
C01B0033152000;Preparation of hydrogels
C01B0033154000;by acidic treatment of aqueous silicate solutions
C01B0033155000;Preparation of hydroorganogels or organogels
C01B0033157000;After-treatment of gels
C01B0033158000;Purification. Drying. Dehydrating
C01B0033159000;Coating or hydrophobisation
C01B0033160000;Preparation of silica xerogels
C01B0033180000;Preparation of finely divided silica neither in sol nor in gel form. After-treatment thereof (treatment to enhance the pigmenting or filling properties C09C)
C01B0033187000;by acidic treatment of silicates
C01B0033193000;of aqueous solutions of silicates
C01B0033200000;Silicates (persilicates C01B0015140000)
C01B0033220000;Magnesium silicates
C01B0033240000;Alkaline earth metal silicates
C01B0033260000;Aluminium-containing silicates
C01B0033320000;Alkali metal silicates (C01B0033260000 takes precedence)..
C01B0033360000;having base-exchange properties but not having molecular sieve properties
C01B0033380000;Layered base-exchange silicates, e.g. clays, micas or alkali metal silicates of kenyaite or magadiite type
C01B0033400000;Clays
C01B0033420000;Micas
C01B0033440000;Products obtained from layered base-exchange silicates by ion-exchange with organic compounds such as ammonium, phosphonium or sulfonium compounds or by intercalation of organic compounds, e.g. organoclay material
C01B0033460000;"Amorphous silicates, e.g. so-called ""amorphous zeolites"""
C01B0035000000;Boron. Compounds thereof (monoborane, diborane, metal borohydrides or addition complexes thereof C01B0006000000. perborates C01B0015120000. binary compounds with nitrogen C01B0021060000. phosphides C01B0025080000. carbides C01B0031360000)
C01B0035020000;Boron. Borides
C01B0035040000;Metal borides
C01B0035060000;Boron halogen compounds
C01B0035080000;Compounds containing boron and nitrogen, phosphorus, oxygen, sulfur, selenium or tellurium
C01B0035100000;Compounds containing boron and oxygen (C01B0035060000 takes precedence)..
C01B0035120000;Borates
C01B0035140000;Compounds containing boron and nitrogen, phosphorus, sulfur, selenium or tellurium
C01B0035160000;Compounds containing direct bonding between two boron atoms, e.g. Cl. 2BBCl2
C01B0035180000;Compounds containing three or more boron atoms, e.g. NaB 3H8, MgB10Br10(borazoles C01B0035140000)
C01B0037000000;Compounds characterised primarily by their physical or chemical properties, rather than by their chemical constitution
C01B0037000000;Compounds having molecular sieve properties but not having base-exchange properties
C01B0037020000;Crystalline silica-polymorphs, e.g. silicalites
C01B0037040000;Aluminophosphates (APO compounds)
C01B0037060000;Aluminophosphates containing other elements, e.g. metals, boron
C01B0037080000;Silicoaluminophosphates (SAPO compounds)
C01B0039000000;Compounds having molecular sieve and base-exchange properties, e.g. crystalline zeolites. Their preparation. After-treatment, e.g. ion-exchange or dealumination (treatment to modify the sorption properties, e.g. shaping using a binder, B01J0020100000. treatment to modify the catalytic properties, e.g. combination of treatments to make the zeolites appropriate to their use as a catalyst, B01J0029040000. treatment to improve the ion-exchange properties B01J0039140000)
C01B0039020000;Crystalline aluminosilicate zeolites. Isomorphous compounds thereof. Direct preparation thereof. Preparation thereof starting from a reaction mixture containing a crystalline zeolite of another type, or from preformed reactants: After-treatment thereof
C01B0039040000;using at least one organic template directing agent, e.g. an ionic quaternary ammonium compound or an aminated compound
C01B0039060000;Preparation of isomorphous zeolites characterised by measures to replace the aluminium or silicon atoms in the lattice framework by atoms of other elements
C01B0039080000;the aluminium atoms being wholly replaced
C01B0039100000;the replacing atoms being phosphorus atoms
C01B0039120000;the replacing atoms being boron atoms
C01B0039140000;Type A
C01B0039160000;from aqueous solutions of an alkali metal aluminate and an alkali metal silicate excluding any other source of alumina or silica but seeds
C01B0039180000;from a reaction mixture containing at least one aluminium silicate or aluminosilicate of a clay type, e.g. kaolin or metakaolin or its exotherm modification or allophane
C01B0039200000;Faujasite type, e.g. type X or Y
C01B0039220000;Type X
C01B0039240000;Type Y
C01B0039260000;Mordenite type
C01B0039280000;Phillipsite or harmotome type, e.g. type B
C01B0039300000;Erionite or offretite type, e.g. zeolite T
C01B0039320000;Type L
C01B0039340000;Type ZSM-4 or type 
C01B0039360000;Pentasil type, e.g. types ZSM-5, ZSM-8 or ZSM-11
C01B0039380000;Type ZSM-5
C01B0039400000;using at least one organic template directing agent
C01B0039420000;Type ZSM-12
C01B0039440000;Ferrierite type, e.g. types ZSM-21, ZSM-35 or ZSM-38
C01B0039460000;Other types characterised by their X-ray diffraction pattern and their defined composition
C01B0039480000;using at least one organic template directing agent
C01B0039500000;Zeolites wherein inorganic bases or salts occlude channels in the lattice framework, e.g. sodalite, cancrinite, nosean, hauynite
C01B0039520000;Sodalites
C01B0039540000;Phosphates, e.g. APO or SAPO compounds
C01C;AMMONIA. CYANOGEN. COMPOUNDS THEREOF (salts of oxyacids of halogens C01B0011000000. peroxides, salts of peroxyacids C01B0015000000. thiosulfates, dithionites, polythionates C01B0017640000. compounds containing selenium or tellurium C01B0019000000. azides C01B0021080000. metal amides C01B0021092000. nitrites C01B0021500000. phosphides C01B0025080000. salts of oxyacids of phosphorus C01B0025160000. compounds containing silicon C01B0033000000. compounds containing boron C01B0035000000. fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000. production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)
C01C0001000000;Ammonia. Compounds thereof
C01C0001020000;Preparation or separation of ammonia
C01C0001040000;Preparation of ammonia by synthesis (preparation or purification of gas mixtures for ammonia synthesis C01B0003020000)
C01C0001080000;Preparation of ammonia from nitrogenous organic substances
C01C0001100000;Separation of ammonia from ammonia liquors, e.g. gas liquors
C01C0001120000;Separation of ammonia from gases and vapours
C01C0001140000;Saturators
C01C0001160000;Halides of ammonium
C01C0001180000;Nitrates of ammonium
C01C0001200000;Sulfides. Polysulfides
C01C0001220000;Sulfites of ammonium
C01C0001240000;Sulfates of ammonium (C01C0001140000 takes precedence)..
C01C0001242000;Preparation from ammonia and sulfuric acid or sulfur trioxide
C01C0001244000;Preparation by double decomposition of ammonium salts with sulfates
C01C0001245000;Preparation from compounds containing nitrogen and sulfur
C01C0001246000;from sulfur-containing ammonium compounds
C01C0001247000;by oxidation with free oxygen
C01C0001248000;Preventing coalescing or controlling form or size of crystals
C01C0001249000;Deacidifying the crystals
C01C0001260000;Carbonates or bicarbonates of ammonium
C01C0001280000;Methods of preparing ammonium salts in general
C01C0003000000;Cyanogen. Compounds thereof
C01C0003020000;Preparation of hydrogen cyanide
C01C0003040000;Separation from gases
C01C0003060000;Stabilisation of hydrogen cyanide
C01C0003080000;Simple or complex cyanides of metals
C01C0003100000;Simple alkali metal cyanides
C01C0003110000;Complex cyanides
C01C0003120000;Simple or complex iron cyanides
C01C0003140000;Cyanic acid. Salts thereof
C01C0003160000;Cyanamide. Salts thereof
C01C0003180000;Calcium cyanamide
C01C0003200000;Thiocyanic acid. Salts thereof
C01D;COMPOUNDS OF ALKALI METALS, i.e. LITHIUM, SODIUM, POTASSIUM, RUBIDIUM, CAESIUM, OR FRANCIUM (metal hydrides C01B0006000000. salts of oxyacids of halogens C01B0011000000. peroxides, salts of peroxyacids C01B0015000000. sulfides or polysulfides C01B0017220000. thiosulfates, dithionites, polythionates C01B0017640000. compounds containing selenium or tellurium C01B0019000000. binary compounds of nitrogen with metals C01B0021060000. azides C01B0021080000. metal amides C01B0021092000. nitrites C01B0021500000. phosphides C01B0025080000. salts of oxyacids of phosphorus C01B0025160000. carbides C01B0031300000. compounds containing silicon C01B0033000000. compounds containing boron C01B0035000000. cyanides C01C0003080000. salts of cyanic acid C01C0003140000. salts of cyanamide C01C0003160000. thiocyanates C01C0003200000. fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000. obtaining metal compounds from mixtures, e.g. ores, which are intermediate compounds in a metallurgical process for obtaining a free metal¶ÿC22B. production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)
C01D0001000000;Oxides or hydroxides of sodium, potassium, or alkali metals in general
C01D0001020000;Oxides
C01D0001040000;Hydroxides
C01D0001200000;Preparation by reacting oxides or hydroxides with alkali metal salts
C01D0001220000;with carbonates or bicarbonates
C01D0001240000;from or . via fluorides or silico-fluorides
C01D0001260000;Preparation from or . via cyano compounds, e.g. cyanides, cyanamides
C01D0001280000;Purification. Separation
C01D0001300000;by crystallisation
C01D0001320000;by adsorption or precipitation
C01D0001340000;with selective solvents
C01D0001360000;by oxidation
C01D0001380000;by dialysis
C01D0001400000;by electrolysis
C01D0001420000;Concentration. Dehydration
C01D0001440000;Preparation in the form of granules, pieces, or other shaped products
C01D0003000000;Halides of sodium, potassium, or alkali metals in general
C01D0003020000;Fluorides
C01D0003040000;Chlorides
C01D0003060000;Preparation by working up brines, seawater or spent lyes
C01D0003080000;Preparation by working up natural or industrial salt mixtures or siliceous minerals
C01D0003100000;Bromides
C01D0003120000;Iodides
C01D0003140000;Purification
C01D0003160000;by precipitation or adsorption
C01D0003180000;with selective solvents
C01D0003200000;by melting
C01D0003220000;Preparation in the form of granules, pieces, or other shaped products
C01D0003240000;Influencing the crystallisation process
C01D0003260000;Preventing the absorption of moisture or caking of the crystals
C01D0005000000;Sulfates or sulfites of sodium, potassium, or alkali metals in general
C01D0005020000;Preparation of sulfates from alkali metal salts and sulfuric acid or bisulfates. Preparation of bisulfates
C01D0005040000;Preparation of sulfates with the aid of sulfurous acid or sulfites, e.g. Hargreaves process
C01D0005060000;Preparation of sulfates by double decomposition
C01D0005080000;with each other or with ammonium sulfate
C01D0005100000;with sulfates of magnesium, calcium, strontium, or barium
C01D0005120000;Preparation of double sulfates of magnesium with sodium or potassium
C01D0005140000;Preparation of sulfites (C01D0005040000 takes precedence)..
C01D0005160000;Purification
C01D0005180000;Dehydration
C01D0007000000;Carbonates of sodium, potassium, or alkali metals in general
C01D0007020000;Preparation by double decomposition
C01D0007040000;with a fluoride or silico-fluoride (C01D0001240000 takes precedence)..
C01D0007060000;Preparation . via sodium or potassium magnesium carbonate
C01D0007070000;Preparation from the hydroxides
