H;SECTION H ELECTRICITY
H01B0003470000;fibre-reinforced plastics, e.g. glass-reinforced plastics
H01B0003480000;fibrous materials (fibre-reinforced plastics H01B0003470000)
H01B0003500000;fabric
H01B0003520000;wood. paper. pressboard (insulating paper per seD21H0027120000)
H01B0003540000;hard paper. hard fabrics
H01B0003560000;gases
H01B0005000000;Non-insulated conductors or conductive bodies characterised by their form
H01B0005020000;Single bars, rods, wires or strips. Bus-bars
H01B0005040000;wound or coiled
H01B0005060000;Single tubes
H01B0005080000;Several wires or the like stranded in the form of a rope
H01B0005100000;stranded around a space, insulating material, or dissimilar conducting material
H01B0005120000;Braided wires or the like
H01B0005140000;comprising conductive layers or films on insulating-supports
H01B0005160000;comprising conductive material in insulating or poorly conductive material, e.g. conductive rubber (H01B0001140000, H01B0001200000 take precedence.insulating bodies with conductive admixtures H01B0017640000. conductive paints C09D0005240000)
H01B0007000000;Insulated conductors or cables characterised by their form
H01B0007020000;Disposition of insulation
H01B0007040000;Flexible cables, conductors, or cords, e.g. trailing cables
H01B0007060000;Extensible conductors or cables, e.g. self-coiling cords
H01B0007080000;Flat or ribbon cables
H01B0007100000;Contact cables, i.e. having conductors which may be brought into contact by distortion of the cable
H01B0007120000;Floating cables
H01B0007140000;Submarine cables
H01B0007160000;Rigid-tube cables
H01B0007170000;Protection against damage caused by external factors, e.g. sheaths or armouring
H01B0007180000;by wear, mechanical force or pressure
H01B0007200000;Metal tubes, e.g. lead sheaths
H01B0007220000;Metal wires or tapes, e.g. made of steel
H01B0007240000;Devices affording localised protection against mechanical force or pressure
H01B0007260000;Reduction of losses in sheaths or armouring
H01B0007280000;by moisture, corrosion, chemical attack or weather
H01B0007282000;Preventing penetration of fluid into conductor or cable
H01B0007285000;by completely or partially filling interstices in the cable
H01B0007288000;using hygroscopic material or material swelling in the presence of liquid
H01B0007290000;by extremes of temperature or by flame (H01B0007420000 takes precedence)..
H01B0007295000;using material resistant to flame
H01B0007300000;with arrangements for reducing conductor losses when carrying ac, e.g. due to skin effect
H01B0007320000;with arrangements for indicating defects, e.g. breaks or leaks
H01B0007360000;with distinguishing or length marks
H01B0007380000;with arrangements for facilitating removal of insulation
H01B0007400000;with arrangements for facilitating mounting or securing
H01B0007420000;with arrangements for heat dissipation or conduction
H01B0009000000;Power cables
H01B0009020000;with screens or conductive layers, e.g. for avoiding large potential gradients
H01B0009040000;Concentric cables
H01B0009060000;Gas-pressure cables. Oil-pressure cables. Cables for use in conduits under fluid pressure
H01B0011000000;Communication cables or conductors
H01B0011020000;Cables with twisted pairs or quads
H01B0011040000;with pairs or quads mutually positioned to reduce cross-talk
H01B0011060000;with means for reducing effects of electromagnetic or electrostatic disturbances, e.g. screens
H01B0011080000;Screens specially adapted for reducing cross-talk
H01B0011100000;Screens specially adapted for reducing interference from external sources
H01B0011120000;Arrangements for exhibiting specific transmission characteristics
H01B0011140000;Continuously inductively loaded cables, e.g. Krarup cables
H01B0011160000;Cables, e.g. submarine cables, with coils or other devices incorporated during cable manufacture
H01B0011180000;Coaxial cables. Analogous cables having more than one inner conductor within a common outer conductor
H01B0011200000;Cables having a multiplicity of coaxial lines
H01B0011220000;Cables including at least one electrical conductor together with optical fibres
H01B0012000000;Superconductive or hyperconductive conductors, cables or transmission lines (superconductors characterised by the ceramic-forming technique or the ceramic composition C04B0035000000)
H01B0012020000;characterised by their form
H01B0012040000;Single wire
H01B0012060000;Films or wires on bases or cores
H01B0012080000;Stranded or braided wires
H01B0012100000;Multi-filaments embedded in normal conductors
H01B0012120000;Hollow conductors
H01B0012140000;characterised by the disposition of thermal insulation
H01B0012160000;characterised by cooling
H01B0013000000;Apparatus or processes specially adapted for manufacturing conductors or cables
H01B0013004000;for manufacturing rigid-tube cables
H01B0013008000;for manufacturing extensible conductors or cables
H01B0013012000;for manufacturing wire harnesses
H01B0013016000;for manufacturing co-axial cables (applying discontinuous insulation H01B0013200000)
H01B0013020000;Stranding-up
H01B0013040000;Mutually-positioning pairs or quads to reduce cross-talk
H01B0013060000;Insulating conductors or cables (H01B0013320000 takes precedence)..
H01B0013080000;by winding
H01B0013100000;by longitudinal lapping
H01B0013120000;by applying loose fibres
H01B0013140000;by extrusion
H01B0013160000;by passing through, or dipping in, a liquid bath. by spraying
H01B0013180000;Applying discontinuous insulation, e.g. discs, beads
H01B0013200000;for concentric or coaxial cables
H01B0013220000;Sheathing. Armouring. Screening. Applying other protective layers (H01B0013320000 takes precedence)..
H01B0013240000;by extrusion
H01B0013260000;by winding, braiding or longitudinal lapping
H01B0013280000;Applying continuous inductive loading, e.g. Krarup loading
H01B0013300000;Drying. Impregnating (H01B0013320000¶ÿtakes precedence)..
H01B0013320000;Filling or coating with impervious material
H01B0013340000;for marking conductors or cables
H01B0015000000;Apparatus or processes for salvaging material from cables (insulated conductors or cables with arrangements for facilitating removal of insulation H01B0007380000. methods or apparatus specially adapted for removing insulation from conductors H02G0001120000)
H01B0017000000;Insulators or insulating bodies characterised by their form
H01B0017020000;Suspension insulators. Strain insulators
H01B0017040000;Chains. Multiple chains
H01B0017060000;Fastening of insulator to support, to conductor, or to adjoining insulator
H01B0017080000;by cap-and-bolt
H01B0017100000;by intermediate link
H01B0017120000;Special features of strain insulators
H01B0017140000;Supporting insulators (pin insulators H01B0017200000. apertured insulators H01B0017240000)
H01B0017160000;Fastening of insulators to support, to conductor, or to adjoining insulator
H01B0017180000;for very heavy conductors, e.g. bus-bars, rails
H01B0017200000;Pin insulators
H01B0017220000;Fastening of conductors to insulator
H01B0017240000;Insulators apertured for fixing by nail, screw, wire, or bar, e.g. diabolo, bobbin
H01B0017260000;Lead-in insulators. Lead-through insulators
H01B0017280000;Capacitor type
H01B0017300000;Sealing
H01B0017320000;Single insulators consisting of two or more dissimilar insulating bodies
H01B0017340000;Insulators containing liquid, e.g. oil
H01B0017360000;Insulators having evacuated or gas-filled spaces
H01B0017380000;Fittings, e.g. caps. Fastenings therefor
H01B0017400000;Cementless fittings
H01B0017420000;Means for obtaining improved distribution of voltage (capacitor-type lead-through insulators H01B0017280000). Protection against arc discharges
H01B0017440000;Structural association of insulators with corona rings
H01B0017460000;Means for providing an external arc-discharge path
H01B0017480000;over chains or other serially-arranged insulators
H01B0017500000;with surfaces specially treated for preserving insulating properties, e.g. for protection against moisture, dirt, or the like
H01B0017520000;having cleaning devices (H01B0017540000 takes precedence)..
H01B0017540000;having heating or cooling devices
H01B0017560000;Insulating bodies
H01B0017580000;Tubes, sleeves, beads or bobbins through which the conductor passes
H01B0017600000;Composite insulating bodies
H01B0017620000;Insulating-layers or insulating-films on metal bodies
H01B0017640000;with conductive admixtures inserts or layers
H01B0017660000;Joining insulating bodies together, e.g. by bonding
H01B0019000000;Apparatus or processes specially adapted for manufacturing insulators or insulating bodies
H01B0019020000;Drying. Impregnating
H01B0019040000;Treating the surfaces, e.g. applying coatings
H01C;RESISTORS
H01C0001000000;Details
H01C0001010000;Mounting. Supporting
H01C0001012000;the base extending along, and imparting rigidity or reinforcement to, the resistive element (H01C0001016000 takes precedence.the resistive element being formed in two or more coils or loops as a spiral, helical, or toroidal winding H01C0003180000, H01C0003200000. the resistive element being formed as one or more layers or coatings on a base H01C0007000000)
H01C0001014000;the resistor being suspended between, and being supported by, two supporting sections (H01C0001016000 takes precedence)..
H01C0001016000;with compensation for resistor expansion or contraction
H01C0001020000;Housing. Enclosing. Embedding. Filling the housing or enclosure
H01C0001022000;the housing or enclosure being openable or separable from the resistive element
H01C0001024000;the housing or enclosure being hermetically sealed (H01C0001028000, H01C0001032000, H01C0001034000 take precedence)..
H01C0001026000;with gaseous or vacuum spacing between the resistive element and the housing or casing
H01C0001028000;the resistive element being embedded in insulation with outer enclosing sheath
H01C0001030000;with powdered insulation
H01C0001032000;plural layers surrounding the resistive element (H01C0001028000 takes precedence)..
H01C0001034000;the housing or enclosure being formed as coating or mould without outer sheath (H01C0001032000 takes precedence)..
H01C0001036000;on wound resistive element
H01C0001040000;Arrangements of distinguishing marks, e.g. colour coding
H01C0001060000;Electrostatic or electromagnetic shielding arrangements
H01C0001080000;Cooling, heating, or ventilating arrangements
H01C0001082000;using forced fluid flow
H01C0001084000;using self-cooling, e.g. fins, heat sinks
H01C0001120000;Arrangements of current collectors
H01C0001125000;of fluid contacts
H01C0001140000;Terminals or tapping points specially adapted for resistors. Arrangements of terminals or tapping points on resistors
H01C0001142000;the terminals or tapping points being coated on the resistive element
H01C0001144000;the terminals or tapping points being welded or soldered
H01C0001146000;the resistive element surrounding the terminal
H01C0001148000;the terminals embracing or surrounding the resistive element (H01C0001142000 takes precedence)..
H01C0001160000;Resistor networks not otherwise provided for
H01C0003000000;Non-adjustable metal resistors made of wire or ribbon, e.g. coiled, woven, or formed as grids
H01C0003020000;arranged or constructed for reducing self-induction, capacitance, or variation with frequency
H01C0003040000;Iron-filament ballast resistors. Other resistors having variable temperature coefficient
H01C0003060000;Flexible or folding resistors, whereby such a resistor can be looped or collapsed upon itself
H01C0003080000;Dimension or characteristic of resistive element changing gradually or in discrete steps from one terminal to another
H01C0003100000;the resistive element having zig-zag or sinusoidal configuration
H01C0003120000;lying in one plane
H01C0003140000;the resistive element being formed in two or more coils or loops continuously wound as a spiral, helical, or toroidal winding (H01C0003020000-H01C0003120000.  take precedence)..
H01C0003160000;including two or more distinct wound elements, or two or more winding patterns
H01C0003180000;wound on a flat or ribbon base (H01C0003160000 takes precedence)..
H01C0003200000;wound on cylindrical or prismatic base (H01C0003160000 takes precedence)..
H01C0007000000;Non-adjustable resistors formed as one or more layers or coatings. Non-adjustable resistors made from powdered conducting material or powdered semi-conducting material with or without insulating material (consisting of loose powdered or granular material H01C0008000000. resistors with a potential-jump barrier or surface barrier, e.g. field effect resistors, H01L0029000000. semiconductor devices sensitive to electromagnetic or corpuscular radiation, e.g. photoresistors, H01L0031000000. magnetic field controlled resistors H01L0043080000. bulk negative resistance effect devices H01L0047000000)
H01C0007020000;having positive temperature coefficient
H01C0007040000;having negative temperature coefficient
H01C0007060000;including means to minimise changes in resistance with changes in temperature
H01C0007100000;voltage responsive, i.e. varistors
H01C0007102000;Varistor boundary, e.g. surface layers (H01C0007120000 takes precedence)..
H01C0007105000;Varistor cores (H01C0007120000 takes precedence)..
H01C0007108000;Metal oxide
H01C0007112000;ZnO type
H01C0007115000;Titanium dioxide- or titanate type
H01C0007118000;Carbide, e.g. SiC type
H01C0007120000;Overvoltage protection resistors. Arresters
H01C0007130000;current-responsive
H01C0007180000;comprising a plurality of layers stacked between terminals
H01C0007200000;the resistive layer or coating being tapered
H01C0007220000;Elongated resistive element being bent or curved, e.g. sinusoidal, helical
H01C0008000000;Non-adjustable resistors consisting of loose powdered or granular conducting, or powdered or granular semi-conducting material
H01C0008020000;Coherers or like imperfect resistors for detecting electromagnetic waves
H01C0008040000;Overvoltage protection resistors. Arresters
H01C0010000000;Adjustable resistors
H01C0010020000;Liquid resistors
H01C0010040000;with specified mathematical relationship between movement of resistor actuating means and value of resistance, other than direct proportional relationship
H01C0010060000;adjustable by short-circuiting different amounts of the resistive element
H01C0010080000;with intervening conducting structure between the resistive element and the short-circuiting means, e.g. taps
H01C0010100000;adjustable by mechanical pressure or force
H01C0010120000;by changing surface pressure between resistive masses or resistive and conductive masses, e.g. pile type
H01C0010140000;adjustable by auxiliary driving means
H01C0010160000;including plural resistive elements
H01C0010180000;including coarse and fine resistive elements
H01C0010200000;Contact structure or movable resistive elements being ganged
H01C0010220000;resistive-element dimensions changing gradually in one direction, e.g. tapered resistive element (H01C0010040000 takes precedence)..
H01C0010230000;resistive-element dimensions changing in a series of discrete, progressive steps
H01C0010240000;the contact moving along turns of a helical resistive element, or . vice versa
H01C0010260000;resistive element moving (H01C0010160000, H01C0010240000 take precedence)..
H01C0010280000;the contact rocking or rolling along resistive element or taps
H01C0010300000;the contact sliding along resistive element
H01C0010320000;the contact moving in an arcuate path
H01C0010340000;the contact or the associated conducting structure riding on collector formed as a ring or portion thereof
H01C0010360000;structurally combined with switching arrangements
H01C0010380000;the contact moving along a straight path
H01C0010400000;screw-operated
H01C0010420000;the contact bridging and sliding along resistive element and parallel conducting bar or collector
H01C0010440000;the contact bridging and sliding along resistive element and parallel conducting bar or collector (H01C0010420000 takes precedence)..
H01C0010460000;Arrangements of fixed resistors with intervening connectors, e.g. taps (H01C0010280000, H01C0010300000 take precedence)..
H01C0010480000;including contact movable in an arcuate path
H01C0010500000;structurally combined with switching arrangement (H01C0010360000 takes precedence)..
H01C0011000000;Non-adjustable liquid resistors
H01C0013000000;Resistors not provided for elsewhere
H01C0013020000;Structural combinations of resistors
H01C0017000000;Apparatus or processes specially adapted for manufacturing resistors (providing fillings for housings or enclosures H01C0001020000. reducing insulation surrounding a resistor to powder H01C0001030000. manufacture of thermally variable resistors H01C0007020000, H01C0007040000)
H01C0017020000;adapted for manufacturing resistors with envelope or housing (apparatus or processes for filling or compressing insulating material in heating element tubes H05B0003520000)
H01C0017040000;adapted for winding the resistive element
H01C0017060000;adapted for coating resistive material on a base
H01C0017065000;by thick-film techniques, e.g. serigraphy
H01C0017070000;by resistor foil bonding, e.g. cladding
H01C0017075000;by thin-film techniques
H01C0017080000;by vapour deposition
H01C0017100000;by flame spraying
H01C0017120000;by sputtering
H01C0017140000;by chemical deposition
H01C0017160000;using electric current
H01C0017180000;without using electric current
H01C0017200000;by pyrolytic processes
H01C0017220000;adapted for trimming
H01C0017230000;by opening or closing resistor tracks of predetermined resistive values
H01C0017232000;Adjusting the temperature coefficient. Adjusting value of resistance by adjusting temperature coefficient
H01C0017235000;Initial adjustment of potentiometer parts for calibration
H01C0017240000;by removing or adding resistive material (H01C0017230000, H01C0017232000, H01C0017235000 take precedence)..
H01C0017242000;by laser
H01C0017245000;by mechanical means, e.g. sand-blasting, cutting, ultrasonic treatment
H01C0017260000;by converting resistive material
H01C0017280000;adapted for applying terminals
H01C0017300000;adapted for baking
H01F;MAGNETS. INDUCTANCES. TRANSFORMERS. SELECTION OF MATERIALS FOR THEIR MAGNETIC PROPERTIES
H01F0001000000;Magnets or magnetic bodies characterised by the magnetic materials therefor. Selection of materials for their magnetic properties
H01F0001010000;of inorganic materials (H01F0001440000 takes precedence)..
H01F0001030000;characterised by their coercivity
H01F0001032000;of hard-magnetic materials
H01F0001040000;metals or alloys
H01F0001047000;Alloys characterised by their composition
H01F0001053000;containing rare earth metals
H01F0001055000;and magnetic transition metals, e.g. SmCo. 5
H01F0001057000;and IIIa elements, e.g. Nd. 2Fe14B
H01F0001058000;and IVa elements, e.g. Gd. 2Fe14C
H01F0001059000;and Va elements, e.g. Sm. 2Fe17N2
H01F0001060000;in the form of particles, e.g. powder (H01F0001047000 takes precedence)..
H01F0001080000;pressed, sintered, or bound together
H01F0001090000;mixtures of metallic and non-metallic particles. metallic particles having oxide skin
H01F0001100000;non-metallic substances, e.g. ferrites
H01F0001110000;in the form of particles
H01F0001113000;in a bonding agent
H01F0001117000;Flexible bodies
H01F0001120000;of soft-magnetic materials
H01F0001140000;metals or alloys
H01F0001147000;Alloys characterised by their composition
H01F0001153000;Amorphous metallic alloys, e.g. glassy metals
H01F0001160000;in the form of sheets (H01F0001147000 takes precedence)..
H01F0001180000;with insulating coating
H01F0001200000;in the form of particles, e.g. powder (H01F0001147000 takes precedence)..
H01F0001220000;pressed, sintered, or bound together
H01F0001240000;the particles being insulated
H01F0001260000;by macromolecular organic substances
H01F0001280000;dispersed or suspended in a bonding agent
H01F0001330000;mixtures of metallic and non-metallic particles. metallic particles having oxide skin
H01F0001340000;non-metallic substances, e.g. ferrites
H01F0001360000;in the form of particles
H01F0001370000;in a bonding agent
H01F0001375000;Flexible bodies
H01F0001380000;amorphous, e.g. amorphous oxides
H01F0001400000;of magnetic semiconductor materials, e.g. CdCr. 2S4    
H01F0001420000;of organic or organo-metallic materials (H01F0001440000 takes precedence)..
H01F0001440000;of magnetic liquids, e.g. ferrofluids
H01F0003000000;Cores, yokes or armatures
H01F0003020000;made from sheets
H01F0003040000;made from strips or ribbons
H01F0003060000;made from wires
H01F0003080000;made from powder
H01F0003100000;Composite arrangements of magnetic circuits
H01F0003120000;Magnetic shunt paths
H01F0003140000;Constrictions. Gaps, e.g. air-gaps (in magnetic shunt paths H01F0003120000)
H01F0005000000;Coils (superconducting coils H01F0006060000. fixed inductances of the signal type H01F0017000000)
H01F0005020000;wound on non-magnetic supports, e.g. formers
H01F0005040000;Arrangements of electric connections to coils, e.g. leads
H01F0005060000;Insulation of windings
H01F0006000000;Superconducting magnets. Superconducting coils
H01F0006020000;Quenching. Protection arrangements during quenching
H01F0006040000;Cooling
H01F0006060000;Coils, e.g. winding, insulating, terminating or casing arrangements therefor
H01F0007000000;Magnets (superconducting magnets H01F0006000000)
H01F0007020000;Permanent magnets
H01F0007040000;Means for releasing the attractive force
H01F0007060000;Electromagnets. Actuators including electromagnets
H01F0007080000;with armatures
H01F0007100000;specially adapted for ac
H01F0007110000;reducing or eliminating the effects of eddy currents
H01F0007120000;having anti-chattering arrangements
H01F0007121000;Guiding or setting position of armatures, e.g. retaining armatures in their end position
H01F0007122000;by permanent magnet
H01F0007123000;by ancillary coil
H01F0007124000;by mechanical latch, e.g. detent
H01F0007126000;Supporting or mounting
H01F0007127000;Assembling
H01F0007128000;Encapsulating, encasing or sealing
H01F0007129000;of armatures
H01F0007130000;characterised by pulling-force characteristic
H01F0007140000;Pivoting armatures (H01F0007170000 takes precedence)..
H01F0007160000;Rectilinearly-movable armatures (H01F0007170000 takes precedence)..
H01F0007170000;Pivoting and rectilinearly-movable armatures
H01F0007180000;Circuit arrangements for obtaining desired operating characteristics, e.g. for slow operation, for sequential energisation of windings, for high-speed energisation of windings
H01F0007200000;without armatures
H01F0010000000;Thin magnetic films, e.g. of one-domain structure
H01F0010060000;characterised by the coupling or physical contact with connecting or interacting conductors
H01F0010080000;characterised by magnetic layers (applying magnetic films to substrates H01F0041140000)
H01F0010100000;characterised by the composition
H01F0010120000;being metals or alloys
H01F0010130000;Amorphous metallic alloys, e.g. glassy metals
H01F0010140000;containing iron or nickel (H01F0010130000, H01F0010160000 take precedence)..
H01F0010160000;containing cobalt (H01F0010130000 takes precedence)..
H01F0010180000;being compounds
H01F0010187000;Amorphous compounds
H01F0010193000;Magnetic semiconductor compounds
H01F0010200000;Ferrites
H01F0010220000;Orthoferrites
H01F0010240000;Garnets
H01F0010260000;characterised by the substrate or intermediate layers (H01F0010320000 takes precedence)..
H01F0010280000;characterised by the composition of the substrate
H01F0010300000;characterised by the composition of intermediate layers
H01F0010320000;Spin-exchange-coupled multilayers, e.g. nanostructured superlattices
H01F0013000000;Apparatus or processes for magnetising or demagnetising
H01F0017000000;Fixed inductances of the signal type
H01F0017020000;without magnetic core
H01F0017030000;with ceramic former
H01F0017040000;with magnetic core
H01F0017060000;with core substantially closed in itself, e.g. toroid
H01F0017080000;Loading coils for telecommunication circuits
H01F0019000000;Fixed transformers or mutual inductances of the signal type (H01F0036000000 takes precedence)..
H01F0019020000;Audio-frequency transformers or mutual inductances, i.e. not suitable for handling frequencies considerably beyond the audio range
H01F0019040000;Transformers or mutual inductances suitable for handling frequencies considerably beyond the audio range
H01F0019060000;Broad-band transformers, e.g. suitable for handling frequencies well down into the audio range
H01F0019080000;Transformers having magnetic bias, e.g. for handling pulses
H01F0021000000;Variable inductances or transformers of the signal type (H01F0036000000 takes precedence)..
H01F0021020000;continuously variable, e.g. variometers
H01F0021040000;by relative movement of turns or parts of windings
H01F0021060000;by movement of core or part of core relative to the windings as a whole
H01F0021080000;by varying the permeability of the core, e.g. by varying magnetic bias
H01F0021100000;by means of a movable shield
H01F0021120000;discontinuously variable, e.g. tapped
H01F0027000000;Details of transformers or inductances, in general
H01F0027020000;Casings
H01F0027040000;Leading of conductors or axles through casings, e.g. for tap-changing arrangements
H01F0027060000;Mounting, supporting, or suspending transformers, reactors, or choke coils
H01F0027080000;Cooling. Ventilating
H01F0027100000;Liquid cooling
H01F0027120000;Oil cooling
H01F0027140000;Expansion chambers. Oil conservators. Gas cushions. Arrangements for purifying, drying, or filling
H01F0027160000;Water cooling
H01F0027180000;by evaporating liquids
H01F0027200000;Cooling by special gases or non-ambient air
H01F0027220000;Cooling by heat conduction through solid or powdered fillings
H01F0027230000;Corrosion protection
H01F0027240000;Magnetic cores
H01F0027245000;made from sheets, e.g. grain-oriented (H01F0027260000 takes precedence)..
H01F0027250000;made from strips or ribbons (H01F0027260000 takes precedence)..
H01F0027255000;made from particles (H01F0027260000 takes precedence)..
H01F0027260000;Fastening parts of the core together. Fastening or mounting the core on casing or support
H01F0027280000;Coils. Windings. Conductive connections
H01F0027290000;Terminals. Tapping arrangements
H01F0027300000;Fastening or clamping coils, windings, or parts thereof together. Fastening or mounting coils or windings on core, casing, or other support
H01F0027320000;Insulating of coils, windings, or parts thereof
H01F0027330000;Arrangements for noise damping
H01F0027340000;Special means for preventing or reducing unwanted electric or magnetic effects, e.g. no-load losses, reactive currents, harmonics, oscillations, leakage fields
H01F0027360000;Electric or magnetic shields or screens (movable for varying inductance H01F0021100000)
H01F0027380000;Auxiliary core members. Auxiliary coils or windings
H01F0027400000;Structural association with built-in electric component, e.g. fuse
H01F0027420000;Circuits specially adapted for the purpose of modifying, or compensating for, electric characteristics of transformers, reactors or choke coils
H01F0029000000;Variable transformers or inductances not covered by group . H01F0021000000
H01F0029020000;with tappings on coil or winding. with provision for rearrangement or interconnection of windings
H01F0029040000;having provision for tap-changing without interrupting the load current
H01F0029060000;with current collector gliding or rolling on or along winding
H01F0029080000;with core, coil, winding, or shield movable to offset variation of voltage or phase shift, e.g. induction regulators
H01F0029100000;having movable part of magnetic circuit
H01F0029120000;having movable coil, winding, or part thereof. having movable shield
H01F0029140000;with variable magnetic bias
H01F0030000000;Fixed transformers not covered by group . H01F0019000000
H01F0030020000;Auto-transformers
H01F0030040000;having two or more secondary windings, each supplying a separate load, e.g. for radio set power supplies
H01F0030060000;characterised by the structure
H01F0030080000;without magnetic core
H01F0030100000;Single-phase transformers (H01F0030160000 takes precedence)..
H01F0030120000;Two-phase, three-phase or polyphase transformers
H01F0030140000;for changing the number of phases
H01F0030160000;Toroidal transformers
H01F0036000000;Transformers with superconductive windings or with windings operating at cryogenic temperatures
H01F0037000000;Fixed inductances not covered by group . H01F0017000000
H01F0038000000;Adaptations of transformers or inductances for specific applications or functions
H01F0038020000;for non-linear operation
H01F0038040000;for frequency changing
H01F0038060000;for changing the wave shape
H01F0038080000;High-leakage transformers or inductances
H01F0038100000;Ballasts, e.g. for discharge lamps
H01F0038120000;Ignition, e.g. for IC engines
H01F0038140000;Inductive couplings
H01F0038160000;Cascade transformers, e.g. for use with extra high tension
H01F0038180000;Rotary transformers
H01F0038200000;Instrument transformers
H01F0038220000;for single phase ac
H01F0038240000;Voltage transformers
H01F0038260000;Constructions
H01F0038280000;Current transformers
H01F0038300000;Constructions
H01F0038320000;Circuit arrangements
H01F0038340000;Combined voltage and current transformers
H01F0038360000;Constructions
H01F0038380000;for polyphase ac
H01F0038400000;for dc
H01F0038420000;Flyback transformers
H01F0041000000;Apparatus or processes specially adapted for manufacturing or assembling the devices covered by this subclass
H01F0041020000;for manufacturing cores, coils or magnets (H01F0041140000¶ÿtakes precedence)..
H01F0041040000;for manufacturing coils
H01F0041060000;Winding
H01F0041080000;Winding conductors on to or threading conductors through cores or formers which are closed in themselves, e.g. toroids
H01F0041100000;Connecting leads to windings
H01F0041120000;Insulating of windings
H01F0041140000;for applying magnetic films to substrates
H01F0041160000;the magnetic material being applied in the form of particles, e.g. by serigraphy (H01F0041180000 takes precedence)..
H01F0041180000;by cathode sputtering
H01F0041200000;by evaporation
H01F0041220000;Heat treatment. Thermal decomposition. Chemical vapour deposition
H01F0041240000;from liquids
H01F0041260000;using electric currents
H01F0041280000;by liquid phase epitaxy
H01F0041300000;for applying nanostructures, e.g. by molecular beam epitaxy (MBE)
H01F0041320000;for applying conductive, insulating or magnetic material on a magnetic film
H01F0041340000;in patterns, e.g. by lithography
H01G;CAPACITORS. CAPACITORS, RECTIFIERS, DETECTORS, SWITCHING DEVICES, LIGHT-SENSITIVE OR TEMPERATURE-SENSITIVE DEVICES OF THE ELECTROLYTIC TYPE (selection of specified materials as dielectric H01B0003000000. capacitors with potential-jump or surface barrier H01L0029000000)
H01G0002000000;Details of capacitors¶ÿnot covered by a single one of groups . H01G0004000000-H01G0011000000
H01G0002020000;Mountings
H01G0002040000;specially adapted for mounting on a chassis
H01G0002060000;specially adapted for mounting on a printed-circuit support
H01G0002080000;Cooling arrangements. Heating arrangements. Ventilating arrangements
H01G0002100000;Housing. Encapsulation
H01G0002120000;Protection against corrosion (H01G0002100000 takes precedence)..
H01G0002140000;Protection against electric or thermal overload (by cooling H01G0002080000)
H01G0002160000;with fusing elements
H01G0002180000;with breakable contacts
H01G0002200000;Arrangements for preventing discharge from edges of electrodes
H01G0002220000;Electrostatic or magnetic shielding
H01G0002240000;Distinguishing marks, e.g. colour coding
H01G0004000000;Fixed capacitors. Processes of their manufacture (electrolytic capacitors H01G0009000000)
H01G0004002000;Details
H01G0004005000;Electrodes
H01G0004008000;Selection of materials
H01G0004010000;Form of self-supporting electrodes
H01G0004012000;Form of non-self-supporting electrodes
H01G0004015000;Special provisions for self-healing
H01G0004018000;Dielectrics
H01G0004020000;Gas or vapour dielectrics
H01G0004040000;Liquid dielectrics
H01G0004060000;Solid dielectrics
H01G0004080000;Inorganic dielectrics
H01G0004100000;Metal-oxide dielectrics
H01G0004120000;Ceramic dielectrics
H01G0004140000;Organic dielectrics
H01G0004160000;of fibrous material, e.g. paper
H01G0004180000;of synthetic material, e.g. derivatives of cellulose (H01G0004160000 takes precedence)..
