G;SECTION G PHYSICS
G01B0017040000;for measuring the deformation in a solid, e.g. by vibrating string
G01B0017060000;for measuring contours or curvatures
G01B0017080000;for measuring roughness or irregularity of surfaces
G01B0021000000;Measuring arrangements or details thereof in so far as they are not adapted to particular types of measuring means of the other groups of this subclass
G01B0021020000;for measuring length, width, or thickness (G01B0021100000 takes precedence)..
G01B0021040000;by measuring coordinates of points
G01B0021060000;specially adapted for measuring length or width of objects while moving
G01B0021080000;for measuring thickness
G01B0021100000;for measuring diameters
G01B0021120000;of objects while moving
G01B0021140000;internal diameters
G01B0021160000;for measuring distance or clearance between spaced objects
G01B0021180000;for measuring depth
G01B0021200000;for measuring contours or curvatures, e.g. determining profile
G01B0021220000;for measuring angles or tapers. for testing the alignment of axes
G01B0021240000;for testing the alignment of axes
G01B0021260000;for testing wheel alignment
G01B0021280000;for measuring areas (integrators in general G06G)
G01B0021300000;for measuring roughness or irregularity of surfaces
G01B0021320000;for measuring the deformation in a solid
G01C;MEASURING DISTANCES, LEVELS OR BEARINGS. SURVEYING. NAVIGATION. GYROSCOPIC INSTRUMENTS. PHOTOGRAMMETRY OR VIDEOGRAMMETRY (measuring liquid level G01F)
G01C0001000000;Measuring angles
G01C0001020000;Theodolites
G01C0001040000;combined with cameras
G01C0001060000;Arrangements for reading scales
G01C0001080000;Sextants
G01C0001100000;including an artificial horizon (G01C0001140000 takes precedence)..
G01C0001120000;with a stabilised mirror
G01C0001140000;Periscopic sextants
G01C0003000000;Measuring distances in line of sight. Optical rangefinders (tapes, chains, or wheels for measuring length G01B0003000000. active triangulation systems, i.e. using the transmission and reflection of electromagnetic waves other than radio waves, G01S0017480000)
G01C0003020000;Details
G01C0003040000;Adaptation of rangefinders for combination with telescopes or binoculars
G01C0003060000;Use of electric means to obtain final indication
G01C0003080000;Use of electric radiation detectors
G01C0003100000;using a parallactic triangle with variable angles and a base of fixed length in the observation station, e.g. in the instrument
G01C0003120000;with monocular observation at a single point, e.g. coincidence type (G01C0003200000 takes precedence)..
G01C0003140000;with binocular observation at a single point, e.g. stereoscopic type (G01C0003200000 takes precedence)..
G01C0003160000;Measuring marks
G01C0003180000;with one observation point at each end of the base (G01C0003200000 takes precedence)..
G01C0003200000;with adaptation to the measurement of the height of an object
G01C0003220000;using a parallactic triangle with variable angles and a base of fixed length at, near, or formed by, the object
G01C0003240000;using a parallactic triangle with fixed angles and a base of variable length in the observation station, e.g. in the instrument
G01C0003260000;using a parallactic triangle with fixed angles and a base of variable length at, near, or formed by, the object
G01C0003280000;with provision for reduction of the distance into the horizontal plane
G01C0003300000;with adaptation to the measurement of the height of an object, e.g. tacheometers
G01C0003320000;by focusing the object, e.g. on a ground glass screen
G01C0005000000;Measuring height. Measuring distances transverse to line of sight. Levelling between separated points. Surveyors' levels (G01C0003200000, G01C0003300000 take precedence)..
G01C0005020000;involving automatic stabilisation of the line of sight
G01C0005040000;Hydrostatic levelling, i.e. by flexibly interconnected liquid containers at separated points
G01C0005060000;by using barometric means
G01C0007000000;Tracing profiles (by photogrammetry or videogrammetry G01C0011000000)
G01C0007020000;of land surfaces
G01C0007040000;involving a vehicle which moves along the profile to be traced
G01C0007060000;of cavities, e.g. tunnels
G01C0009000000;Measuring inclination, e.g. by clinometers, by levels
G01C0009020000;Details
G01C0009040000;Transmission means between sensing element and final indicator for giving an enlarged reading
G01C0009060000;Electric or photoelectric indication or reading means
G01C0009080000;Means for compensating acceleration forces due to movement of instrument
G01C0009100000;by using rolling bodies
G01C0009120000;by using a single pendulum (plumb lines G01C0015100000)
G01C0009140000;movable in more than one direction
G01C0009160000;by using more than one pendulum
G01C0009180000;by using liquids
G01C0009200000;the indication being based on the inclination of the surface of a liquid relative to its container
G01C0009220000;with interconnected containers in fixed relation to each other
G01C0009240000;in closed containers partially filled with liquid so as to leave a gas bubble
G01C0009260000;Details
G01C0009280000;Mountings
G01C0009300000;Means for adjusting dimensions of bubble
G01C0009320000;Means for facilitating the observation of the position of the bubble, e.g. illuminating means
G01C0009340000;of the tubular type, i.e. for indicating the level in one direction only
G01C0009360000;of the spherical type, i.e. for indicating the level in all directions
G01C0011000000;Photogrammetry or videogrammetry, e.g. stereogrammetry. Photographic surveying
G01C0011020000;Picture-taking arrangements specially adapted for photogrammetry or photographic surveying, e.g. controlling overlapping of pictures
G01C0011040000;Interpretation of pictures
G01C0011060000;by comparison of two or more pictures of the same area
G01C0011080000;the pictures not being supported in the same relative position as when they were taken
G01C0011100000;using computers to control the position of the pictures
G01C0011120000;the pictures being supported in the same relative position as when they were taken
G01C0011140000;with optical projection (G01C0011260000 takes precedence)..
G01C0011160000;in a common plane
G01C0011180000;involving scanning means
G01C0011200000;in separate planes
G01C0011220000;with mechanical projection (G01C0011260000 takes precedence)..
G01C0011240000;with optical-mechanical projection (G01C0011260000 takes precedence)..
G01C0011260000;using computers to control the position of the pictures
G01C0011280000;Special adaptation for recording picture point data, e.g. for profiles
G01C0011300000;by triangulation
G01C0011320000;Radial triangulation
G01C0011340000;Aerial triangulation
G01C0011360000;Videogrammetry, i.e. electronic processing of video signals from different sources to give parallax or range information
G01C0013000000;Surveying specially adapted to open water, e.g. sea, lake, river or canal (liquid level metering G01F)
G01C0015000000;Surveying instruments or accessories not provided for in groups . G01C0001000000-G01C0013000000
G01C0015020000;Means for marking measuring points
G01C0015040000;Permanent marks. Boundary markers
G01C0015060000;Surveyors' staffs. Movable markers
G01C0015080000;Plumbing or registering staffs or markers over ground marks
G01C0015100000;Plumb lines
G01C0015120000;Instruments for setting out fixed angles, e.g. right angles
G01C0015140000;Artificial horizons
G01C0017000000;Compasses. Devices for ascertaining true or magnetic north for navigation or surveying purposes (using gyroscopic effect G01C0019000000)
G01C0017020000;Magnetic compasses
G01C0017040000;with north-seeking magnetic elements, e.g. needles
G01C0017060000;Suspending magnetic elements
G01C0017080000;by flotation
G01C0017100000;Comparing observed direction with north indication
G01C0017120000;by sighting means, e.g. for surveyors' compasses
G01C0017140000;by reference marks, e.g. for ships' compasses
G01C0017160000;by clinometers, e.g. for determining dip or strike of geological strata
G01C0017180000;Supporting or suspending compasses, e.g. by gimbal, by flotation
G01C0017200000;Observing the compass card or needle
G01C0017220000;by projection
G01C0017240000;Illumination
G01C0017260000;using electric pick-offs for transmission to final indicator, e.g. photocell
G01C0017280000;Electromagnetic compasses (with north-seeking magnetic elements and having electric pick-offs G01C0017260000)
G01C0017300000;Earth-inductor compasses
G01C0017320000;Electron compasses
G01C0017340000;Sun- or astro-compasses
G01C0017360000;Repeaters for remote indication of readings of a master compass
G01C0017380000;Testing, calibrating, or compensating of compasses
G01C0019000000;Gyroscopes. Turn-sensitive devices using vibrating masses. Turn-sensitive devices without moving masses. Measuring angular rate using gyroscopic effects
G01C0019020000;Rotary gyroscopes
G01C0019040000;Details
G01C0019060000;Rotors
G01C0019080000;electrically driven (G01C0019140000 takes precedence)..
G01C0019100000;Power supply
G01C0019120000;fluid driven (G01C0019140000 takes precedence)..
G01C0019140000;Fluid rotors
G01C0019160000;Suspensions. Bearings
G01C0019180000;providing movement of rotor with respect to its rotational axes (G01C0019200000, G01C0019240000 take precedence)..
G01C0019200000;in fluid
G01C0019220000;torsional
G01C0019240000;using magnetic or electrostatic fields
G01C0019260000;Caging, i.e. immobilising moving parts, e.g. for transport
G01C0019280000;Pick-offs, i.e. devices for taking off an indication of the displacement of the rotor axis
G01C0019300000;Erection devices, i.e. devices for restoring rotor axis to a desired position (for instrument indicating the vertical G01C0019460000)
G01C0019320000;Indicating or recording means specially adapted for rotary gyroscopes
G01C0019340000;for indicating a direction in the horizontal plane, e.g. directional gyroscopes
G01C0019360000;with north-seeking action by magnetic means, e.g. gyromagnetic compasses
G01C0019380000;with north-seeking action by other than magnetic means, e.g. gyrocompasses using earth's rotation
G01C0019400000;for control by signals from a master compass, i.e. repeater compasses
G01C0019420000;for indicating rate of turn. for integrating rate of turn
G01C0019440000;for indicating the vertical
G01C0019460000;Erection devices for restoring rotor axis to a desired position
G01C0019480000;operating by electrical means (G01C0019540000 takes precedence)..
G01C0019500000;operating by mechanical means (G01C0019540000 takes precedence)..
G01C0019520000;operating by fluid means (G01C0019540000 takes precedence)..
G01C0019540000;with correction for acceleration forces due to movement of instrument
G01C0019560000;Turn-sensitive devices using vibrating masses, e.g. vibratory angular rate sensors based on Coriolis forces
G01C0019560700;using vibrating tuning forks (double-ended tuning forks using planar vibrating masses suspended at opposite ends G01C0019571900)
G01C0019561400;Signal processing
G01C0019562100;the devices involving a micro-mechanical structure
G01C0019562800;Manufacturing. Trimming. Mounting. Housings
G01C0019563500;using vibrating wires or strings
G01C0019564200;using vibrating bars or beams
G01C0019564900;Signal processing
G01C0019565600;the devices involving a micro-mechanical structure
G01C0019566300;Manufacturing. Trimming. Mounting. Housings
G01C0019567000;using the phase shift of a vibration node or antinode
G01C0019567700;of essentially two-dimensional vibrators, e.g. ring-shaped vibrators
G01C0019568400;the devices involving a micro-mechanical structure
G01C0019569100;of essentially three-dimensional vibrators, e.g. wine glass-type vibrators
G01C0019569800;using acoustic waves, e.g. surface acoustic wave gyros
G01C0019570500;using masses driven in reciprocating rotary motion about an axis
G01C0019571200;the devices involving a micro-mechanical structure
G01C0019571900;using planar vibrating masses driven in a translation vibration along an axis
G01C0019572600;Signal processing
G01C0019573300;Structural details or topology
G01C0019574000;the devices having two sensing masses in anti-phase motion
G01C0019574700;each sensing mass being connected to a driving mass, e.g. driving frames
G01C0019575500;the devices having a single sensing mass
G01C0019576200;the sensing mass being connected to a driving mass, e.g. driving frames
G01C0019576900;Manufacturing. Mounting. Housings
G01C0019577600;Signal processing not specific to any of the devices covered by groups . G01C0019560700-G01C0019571900
G01C0019578300;Mountings or housings not specific to any of the devices covered by groups . G01C0019560700-G01C0019571900
G01C0019580000;Turn-sensitive devices without moving masses
G01C0019600000;Electronic or nuclear magnetic resonance gyrometers
G01C0019620000;with optical pumping
G01C0019640000;Gyrometers using the Sagnac effect, i.e. rotation-induced shifts between counter-rotating electromagnetic beams
G01C0019660000;Ring laser gyrometers
G01C0019680000;Lock-in prevention
G01C0019700000;by mechanical means
G01C0019720000;with counter-rotating light beams in a passive ring, e.g. fibre laser gyrometers
G01C0021000000;Navigation. Navigational instruments not provided for in groups  G01C0001000000-G01C0019000000. (measuring distance traversed on the ground by a vehicle G01C0022000000. control of position, course, altitude or attitude of vehicles G05D0001000000. traffic control systems for road vehicles involving transmission of navigation instructions to the vehicleG08G0001096800)
G01C0021020000;by astronomical means (G01C0021240000, G01C0021260000 take precedence)..
G01C0021040000;by terrestrial means (G01C0021240000, G01C0021260000 take precedence)..
G01C0021060000;involving measuring of drift angle. involving correction for drift
G01C0021080000;involving use of the magnetic field of the earth
G01C0021100000;by using measurement of speed or acceleration (G01C0021240000, G01C0021260000 take precedence)..
G01C0021120000;executed aboard the object being navigated. Dead reckoning
G01C0021140000;by recording the course traversed by the object (G01C0021160000 takes precedence)..
G01C0021160000;by integrating acceleration or speed, i.e. inertial navigation
G01C0021180000;Stabilised platforms, e.g. by gyroscope
G01C0021200000;Instruments for performing navigational calculations (G01C0021240000, G01C0021260000 take precedence)..
G01C0021220000;Plotting boards
G01C0021240000;specially adapted for cosmonautical navigation
G01C0021260000;specially adapted for navigation in a road network
G01C0021280000;with correlation of data from several navigational instruments
G01C0021300000;Map- or contour-matching
G01C0021320000;Structuring or formatting of map data
G01C0021340000;Route searching. Route guidance
G01C0021360000;Input/output arrangements for on-board computers
G01C0022000000;Measuring distance traversed on the ground by vehicles, persons, animals or other moving solid bodies, e.g. using odometers or using pedometers
G01C0022020000;by conversion into electric waveforms and subsequent integration, e.g. using tachometer generator
G01C0023000000;Combined instruments indicating more than one navigational value, e.g. for aircraft. Combined measuring devices for measuring two or more variables of movement, e.g. distance, speed, acceleration
G01C0025000000;Manufacturing, calibrating, cleaning, or repairing instruments or devices referred to in the other groups of this subclass (testing, calibrating, or compensating compasses G01C0017380000)
G01D;MEASURING NOT SPECIALLY ADAPTED FOR A SPECIFIC VARIABLE. ARRANGEMENTS FOR MEASURING TWO OR MORE VARIABLES NOT COVERED BY A SINGLE OTHER SUBCLASS. TARIFF METERING APPARATUS. TRANSFERRING OR TRANSDUCING ARRANGEMENTS NOT SPECIALLY ADAPTED FOR A SPECIFIC VARIABLE. MEASURING OR TESTING NOT OTHERWISE PROVIDED FOR
G01D0001000000;Measuring arrangements giving results other than momentary value of variable, of general application (G01D0003000000 takes precedence.in tariff metering apparatus G01D0004000000. transducers not specially adapted for a specific variable G01D0005000000)
G01D0001020000;giving mean values, e.g. root mean square values (measuring root mean square values of currents or voltages G01R0019020000)
G01D0001040000;giving integrated values (giving mean values G01D0001020000)
G01D0001060000;by intermittent summation
G01D0001080000;over fixed periods of time
G01D0001100000;giving differentiated values
G01D0001120000;giving a maximum or minimum of a value
G01D0001140000;giving a distribution function of a value, i.e. number of times the value comes within specified ranges of amplitude
G01D0001160000;giving a value which is a function of two or more values, e.g. product, ratio
G01D0001180000;with arrangements for signalling that a predetermined value of an unspecified parameter has been exceeded (G01D0001140000 takes precedence)..
G01D0003000000;Measuring arrangements with provision for the special purposes referred to in the subgroups of this group
G01D0003020000;with provision for altering or correcting the transfer function
G01D0003024000;for range change. Arrangements for substituting one sensing member by another
G01D0003028000;mitigating undesired influences, e.g. temperature, pressure
G01D0003032000;affecting incoming signal, e.g. by averaging. gating undesired signals
G01D0003036000;on measuring arrangements themselves
G01D0003060000;with provision for operation by a null method
G01D0003080000;with provision for safeguarding the apparatus, e.g. against abnormal operation, against breakdown
G01D0003100000;with provision for switching-in of additional or auxiliary indicators or recorders
G01D0004000000;Tariff metering apparatus (in taximeters G07B0013000000. apparatus actuated by coins, cards or the like with meter-controlled dispensing of liquid, gas, or electricity G07F0015000000)
G01D0004020000;Details
G01D0004040000;Resetting-mechanisms, e.g. for indicating members
G01D0004060000;Arrangement of clutches between driving and indicating member, e.g. of hysteresis clutch (G01D0004040000 takes precedence)..
G01D0004080000;Transfer of indication from a counter into a summing counter
G01D0004100000;Maximum indicating or recording apparatus, i.e. where the tariff for a period is based on a maximum demand within that period
G01D0004120000;Apparatus for indicating or recording progressive maximum
G01D0004140000;Fixed-demand indicating or recording apparatus, i.e. where indication is made when a predetermined quantity has been consumed during a time interval greater or less than a predetermined time interval
G01D0004160000;Apparatus for indicating or recording maximum or minimum load hours
G01D0004180000;Apparatus for indicating or recording overconsumption with opposing torque which comes into effect when a predetermined level is exceeded, e.g. subtraction meters
G01D0005000000;Mechanical means for transferring the output of a sensing member. Means for converting the output of a sensing member to another variable where the form or nature of the sensing member does not constrain the means for converting. Transducers not specially adapted for a specific variable (G01D0003000000 takes precedence.specially adapted for apparatus giving results other than momentary value of variable G01D0001000000)
G01D0005020000;using mechanical means
G01D0005040000;using levers. using cams. using gearing
G01D0005060000;acting through a wall or enclosure, e.g. by bellows, by magnetic coupling
G01D0005080000;Reducing the effects of friction, e.g. by applying vibrations
G01D0005100000;Applying external forces to increase force available for operation of indicating or recording part
G01D0005120000;using electric or magnetic means (G01D0005060000 takes precedence)..
G01D0005140000;influencing the magnitude of a current or voltage
G01D0005160000;by varying resistance
G01D0005165000;by relative movement of a point of contact and a resistive track
G01D0005180000;by varying effective impedance of discharge tubes or semiconductor devices
G01D0005200000;by varying inductance, e.g. by a movable armature
G01D0005220000;differentially influencing two coils
G01D0005240000;by varying capacitance
G01D0005241000;by relative movement of capacitor electrodes
G01D0005242000;by varying output of an electrodynamic device, e.g. of a tachodynamo
G01D0005243000;influencing the phase or frequency of ac
G01D0005244000;influencing characteristics of pulses or pulse trains. generating pulses or pulse trains
G01D0005245000;using a variable number of pulses in a train
G01D0005246000;by varying the duration of individual pulses
G01D0005247000;using time shifts of pulses
G01D0005248000;by varying pulse repetition frequency
G01D0005249000;using pulse code
G01D0005250000;Selecting one or more conductors or channels from a plurality of conductors or channels, e.g. by closing contacts
G01D0005251000;one conductor or channel
G01D0005252000;a combination of conductors or channels
G01D0005260000;using optical means, i.e. using infra-red, visible or ultra-violet light
G01D0005280000;with deflection of beams of light, e.g. for direct optical indication (G01D0005400000 takes precedence)..
G01D0005300000;the beams of light being detected by photocells
G01D0005320000;with attenuation or whole or partial obturation of beams of light (G01D0005400000 takes precedence)..
G01D0005340000;the beams of light being detected by photocells
G01D0005347000;using displacement encoding scales
G01D0005353000;influencing the transmission properties of an optical fibre
G01D0005360000;Forming the light into pulses
G01D0005380000;by diffraction gratings
G01D0005390000;Scanning a visible indication of the measured value and reproducing this indication at a remote place, e.g. on the screen of a cathode-ray tube
G01D0005400000;specially adapted for use with infra-red light
G01D0005420000;using fluid means
G01D0005440000;using jets of fluid
G01D0005460000;by deflecting or throttling the flow
G01D0005480000;using wave or particle radiation means (G01D0005260000 takes precedence)..
G01D0005500000;derived from a radioactive source
G01D0005520000;detected by a counter tube
G01D0005540000;using means specified in two or more of groups . G01D0005020000, G01D0005120000, G01D0005260000, G01D0005420000, and G01D0005480000
G01D0005560000;using electric or magnetic means
G01D0005580000;using optical means, i.e. using infra-red, visible or ultra-violet light
G01D0005600000;using fluid means
G01D0005620000;using wave or particle radiation means not covered by group . G01D0005580000
G01D0007000000;Indicating measured values
G01D0007020000;Indicating value of two or more variables simultaneously
G01D0007040000;using a separate indicating element for each variable
G01D0007060000;Luminous indications projected on a common screen
G01D0007080000;using a common indicating element for two or more variables
G01D0007100000;giving indication in co-ordinate form
G01D0007120000;Audible indication of meter readings, e.g. for the blind
G01D0009000000;Recording measured values
G01D0009020000;Producing one or more recordings of the values of a single variable
G01D0009040000;with provision for multiple or alternative recording
G01D0009060000;Multiple recording, e.g. duplicating
G01D0009080000;giving both graphical and numerical recording
G01D0009100000;the recording element, e.g. stylus, being controlled in accordance with the variable, and the recording medium, e.g. paper roll, being controlled in accordance with time
G01D0009120000;recording occurring continuously
G01D0009140000;with provision for altering speed of recording medium in accordance with the magnitude of the variable to be recorded
G01D0009160000;recording occurring at separated intervals, e.g. by chopper bar
G01D0009180000;recording element actuated only upon change in value of variable
G01D0009200000;the recording element, e.g. stylus, being controlled in accordance with time and the recording medium, e.g. paper roll, being controlled in accordance with the variable
G01D0009220000;recording occurring continuously
G01D0009240000;recording occurring at separated intervals, e.g. by chopper bar
G01D0009260000;either the recording element, e.g. stylus, or the recording medium, e.g. paper roll, being controlled in accordance with both time and the variable
G01D0009280000;Producing one or more recordings, each recording being of the values of two or more different variables (G01D0009380000, G01D0009400000 take precedence)..
G01D0009300000;there being a separate recording element for each variable, e.g. multiple-pen recorder
G01D0009320000;there being a common recording element for two or more variables
G01D0009340000;the variables being recorded in predetermined sequence
G01D0009360000;in separate columns
G01D0009380000;Producing one or more recordings, each recording being produced by controlling the recording element, e.g. stylus, in accordance with one variable and controlling the recording medium, e.g. paper roll, in accordance with another variable
G01D0009400000;Producing one or more recordings, each recording being produced by controlling either the recording element, e.g. stylus, or the recording medium, e.g. paper roll, in accordance with two or more variables
G01D0009420000;Recording indications of measuring instruments by photographic means, e.g. of counters
G01D0011000000;Component parts of measuring arrangements not specially adapted for a specific variable (G01D0013000000, G01D0015000000 take precedence)..
G01D0011020000;Bearings or suspensions for moving parts
G01D0011040000;Knive-edge bearings
G01D0011060000;Strip or thread suspensions, e.g. in tension
G01D0011080000;Elements for balancing moving parts
G01D0011100000;Elements for damping the movement of parts
G01D0011120000;using fluid damping
G01D0011140000;using magnetic induction damping
G01D0011160000;Elements for restraining or preventing the movement of parts, e.g. for zeroising (caging of moving parts when not in use G01D0011200000)
G01D0011180000;Springs (G01D0011060000 takes precedence)..
G01D0011200000;Caging devices for moving parts when not in use
G01D0011220000;automatically actuated
G01D0011240000;Housings
G01D0011260000;Windows. Cover glasses. Sealings therefor
G01D0011280000;Structurally-combined illuminating devices
G01D0011300000;Supports specially adapted for an instrument. Supports specially adapted for a set of instruments
G01D0013000000;Component parts of indicators for measuring arrangements not specially adapted for a specific variable
G01D0013020000;Scales. Dials
G01D0013040000;Construction
G01D0013060000;Moving bands (G01D0013100000 takes precedence)..
G01D0013080000;Rotating drums (G01D0013100000 takes precedence)..
G01D0013100000;with adjustable scales. with auxiliary scales, e.g. vernier
G01D0013120000;Graduation
G01D0013140000;for rotations of more than 360
G01D0013160000;with staggered markings
G01D0013180000;with raised or recessed markings
G01D0013200000;with luminescent markings
G01D0013220000;Pointers, e.g. settable pointer
G01D0013240000;for indicating a maximum or minimum
G01D0013260000;adapted to perform a further operation, e.g. making electrical contact
