F01B0009080000;with ratchet and pawl
F01B0011000000;Reciprocating-piston machines or engines without rotary main shaft, e.g. of free-piston type
F01B0011020000;Equalising or cushioning devices
F01B0011040000;Engines combined with reciprocatory driven devices, e.g. hammers (with pumps F01B0023080000. predominating aspects of driven devices, see the relevant classes for the devices).
F01B0011060000;for generating vibration only
F01B0011080000;with direct fluid transmission link (F01B0011020000 takes precedence)..
F01B0013000000;Reciprocating-piston machines or engines with rotating cylinders in order to obtain the reciprocating-piston motion (machines or engines of flexible-wall type F01B0019000000)
F01B0013020000;with one cylinder only
F01B0013040000;with more than one cylinder
F01B0013060000;in star arrangement
F01B0015000000;Reciprocating-piston machines or engines with movable cylinders other than provided for in group  F01B0013000000. (with movable cylinder sleeves for working-fluid control F01L)
F01B0015020000;with reciprocating cylinders (with one piston within another F01B0007200000)
F01B0015040000;with oscillating cylinder
F01B0015060000;Control of working-fluid admission or discharge peculiar thereto
F01B0017000000;Reciprocating-piston machines or engines characterised by use of uniflow principle
F01B0017020000;Engines
F01B0017040000;Steam engines
F01B0019000000;Positive-displacement machines or engines of flexible-wall type
F01B0019020000;with plate-like flexible members
F01B0019040000;with tubular flexible members
F01B0021000000;Combinations of two or more machines or engines (F01B0023000000 takes precedence.combinations of two or more pumps F04. fluid gearing F16H. regulating or controlling, see the relevant groups).
F01B0021020000;the machines or engines being all of reciprocating-piston type
F01B0021040000;the machines or engines being not all of reciprocating-piston type, e.g. of reciprocating steam engine with steam turbine
F01B0023000000;Adaptations of machines or engines for special use. Combinations of engines with devices driven thereby (F01B0011000000 takes precedence.fluid gearing F16H. aspects predominantly concerning driven devices, see the relevant classes for these devicesregulating or controlling, see the relevant groups).
F01B0023020000;Adaptations for driving vehicles, e.g. locomotives (arrangements in vehicles, see the relevant classes for vehicles)..
F01B0023040000;the vehicles being waterborne vessels
F01B0023060000;Adaptations for driving, or combinations with, hand-held tools or the like
F01B0023080000;Adaptations for driving, or combinations with, pumps
F01B0023100000;Adaptations for driving, or combinations with, electric generators
F01B0023120000;Adaptations for driving rolling mills or other heavy reversing machinery
F01B0025000000;Regulating, controlling, or safety means (regulating or controlling in general G05)
F01B0025020000;Regulating or controlling by varying working-fluid admission or exhaust, e.g. by varying pressure or quantity (distributing or expansion valve gear F01L)
F01B0025040000;Sensing elements
F01B0025060000;responsive to speed
F01B0025080000;Final actuators
F01B0025100000;Arrangements or adaptations of working-fluid admission or discharge valves (valves in general F16K)
F01B0025120000;Devices dealing with sensing elements or final actuators or transmitting means between them, e.g. power-assisted (sensing elements alone F01B0025040000. final actuators alone F01B0025080000)
F01B0025140000;peculiar to particular kinds of machines or engines
F01B0025160000;Safety means responsive to specific conditions (against water hammer or the like in steam engines F01B0031340000)
F01B0025180000;preventing rotation in wrong direction
F01B0025200000;Checking operation of safety devices
F01B0025220000;Braking by redirecting working fluid
F01B0025240000;thereby regenerating energy
F01B0025260000;Warning devices
F01B0027000000;Starting of machines or engines (starting combustion engines F02N)
F01B0027020000;of reciprocating-piston engines
F01B0027040000;by directing working-fluid supply, e.g. by aid of by-pass steam conduits
F01B0027060000;specially for compound engines
F01B0027080000;Means for moving crank off dead-centre (turning-gear in general F16H)
F01B0029000000;Machines or engines with pertinent characteristics other than those provided for in main groups . F01B0001000000-F01B0027000000
F01B0029020000;Atmospheric engines, i.e. atmosphere acting against vacuum
F01B0029040000;characterised by means for converting from one type to a different one
F01B0029060000;from steam engine into combustion engine
F01B0029080000;Reciprocating-piston machines or engines not otherwise provided for
F01B0029100000;Engines (refrigeration machines F25B)
F01B0029120000;Steam engines (toy steam engines A63H0025000000)
F01B0031000000;Component parts, details, or accessories not provided for in, or of interest apart from, other groups (machine or engine casings, other than those peculiar to steam engines, F16M)
F01B0031020000;De-icing means for engines having icing phenomena
F01B0031040000;Means for equalising torque in reciprocating-piston machines or engines (compensation of inertial forces, suppression of vibration in systems F16F)
F01B0031060000;Means for compensating relative expansion of component parts
F01B0031080000;Cooling of steam engines (cooling of fluid machines or engines in general F01P). Heating. Heat insulation (heat insulation in general F16L0059000000)
F01B0031100000;Lubricating arrangements of steam engines (of fluid machines or engines in general F01M)
F01B0031120000;Arrangements of measuring or indicating devices (warning apparatus F01B0025260000. measuring instruments or the like per seG01)
F01B0031140000;Changing of compression ratio
F01B0031160000;Silencers specially adapted for steam engines (arrangements of exhaust pipes or tubes on steam engines F01B0031300000. gas-flow silencers or exhaust silencers for machines or engines in general F01N)
F01B0031180000;Draining
F01B0031200000;of cylinders
F01B0031220000;Idling devices, e.g. having by-passing valves
F01B0031240000;Disengagement of connections between pistons and main shafts
F01B0031260000;Other component parts, details, or accessories, peculiar to steam engines
F01B0031280000;Cylinders or cylinder covers
F01B0031300000;Arrangements of steam conduits
F01B0031320000;Arrangements or adaptations of vacuum breakers
F01B0031340000;Safety means against water hammer or against the penetration of water (steam traps F16T)
F01B0031360000;automatically cutting-off steam supply
F01C;ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES (combustion engines F02. internal-combustion aspects F02B0053000000, F02B0055000000. machines for liquids F03, F04)
F01C0001000000;Rotary-piston machines or engines (with axes of co-operating members non-parallel F01C0003000000. with the working-chamber walls at least partly resiliently deformable F01C0005000000. with fluid ring or the like F01C0007000000. rotary-piston machines or engines in which the working fluid is exclusively displaced by, or exclusively displaces, one or more reciprocating pistons F01B0013000000)
F01C0001020000;of arcuate-engagement type, i.e. with circular translatory movement of co-operating members, each member having the same number of teeth or tooth-equivalents
F01C0001040000;of internal-axis type
F01C0001060000;of other than internal-axis type (F01C0001063000 takes precedence)..
F01C0001063000;with coaxially-mounted members having continuously-changing circumferential spacing between them
F01C0001067000;having cam-and-follower type drive
F01C0001070000;having crankshaft-and-connecting-rod type drive
F01C0001073000;having pawl-and-ratchet type drive
F01C0001077000;having toothed-gearing type drive
F01C0001080000;of intermeshing-engagement type, i.e. with engagement of co-operating members similar to that of toothed gearing
F01C0001100000;of internal-axis type with the outer member having more teeth or tooth-equivalents, e.g. rollers, than the inner member
F01C0001107000;with helical teeth
F01C0001113000;the inner member carrying rollers intermeshing with the outer member
F01C0001120000;of other than internal-axis type
F01C0001140000;with toothed rotary pistons
F01C0001160000;with helical teeth, e.g. chevron-shaped, screw type
F01C0001180000;with similar tooth forms (F01C0001160000 takes precedence)..
F01C0001200000;with dissimilar tooth forms (F01C0001160000 takes precedence)..
F01C0001220000;of internal-axis type with equidirectional movement of co-operating members at the points of engagement, or with one of the co-operating members being stationary, the inner member having more teeth or tooth-equivalents than the outer member
F01C0001240000;of counter-engagement type, i.e. the movement of co-operating members at the points of engagement being in opposite directions
F01C0001260000;of internal-axis type
F01C0001280000;of other than internal-axis type
F01C0001300000;having the characteristics covered by two or more of groups . F01C0001020000, F01C0001080000, F01C0001220000, F01C0001240000.  or having the characteristics covered by one of these groups together with some other type of movement between co-operating members
F01C0001320000;having both the movement defined in group . F01C0001020000 and relative reciprocation between the co-operating members
F01C0001324000;with vanes hinged to the inner member and reciprocating with respect to the outer member
F01C0001328000;and hinged to the outer member
F01C0001332000;with vanes hinged to the outer member and reciprocating with respect to the inner member
F01C0001336000;and hinged to the inner member
F01C0001340000;having the movement defined in group . F01C0001080000.  or F01C0001220000 and relative reciprocation between the co-operating members
F01C0001344000;with vanes reciprocating with respect to the inner member
F01C0001348000;the vanes positively engaging, with circumferential play, an outer rotatable member
F01C0001352000;the vanes being pivoted on the axis of the outer member
F01C0001356000;with vanes reciprocating with respect to the outer member
F01C0001360000;having both the movements defined in groups . F01C0001220000 and F01C0001240000
F01C0001380000;having the movement defined in group  F01C0001020000 and having a hinged member(F01C0001320000 takes precedence)..
F01C0001390000;with vanes hinged to the inner as well as to the outer member
F01C0001400000;having the movement defined in group . F01C0001080000.  or F01C0001220000 and having a hinged member
F01C0001440000;with vanes hinged to the inner member
F01C0001460000;with vanes hinged to the outer member
F01C0003000000;Rotary-piston machines or engines with non-parallel axes of movement of co-operating members (with the working-chamber walls being at least partly resiliently deformable F01C0005000000)
F01C0003020000;the axes being arranged at an angle of 90
F01C0003040000;with axially-sliding vanes
F01C0003060000;the axes being arranged otherwise than at an angle of 90
F01C0003080000;of intermeshing-engagement type, i.e. with engagement of co-operating members similar to that of toothed gearing
F01C0005000000;Rotary-piston machines or engines with the working-chamber walls at least partly resiliently deformable
F01C0005020000;the resiliently-deformable wall being part of the inner member, e.g. of a rotary piston
F01C0005040000;the resiliently-deformable wall being part of the outer member, e.g. of a housing
F01C0005060000;the resiliently-deformable wall being a separate member
F01C0005080000;of tubular form, e.g. hose
F01C0007000000;Rotary-piston machines or engines with fluid ring or the like
F01C0009000000;Oscillating-piston machines or engines
F01C0011000000;Combinations of two or more machines or engines, each being of rotary-piston or oscillating-piston type (F01C0013000000 takes precedence.combinations of two or more pumps F04. fluid gearing F16H)
F01C0013000000;Adaptations of machines or engines for special use. Combinations of engines with devices driven thereby (aspects predominantly concerning driven devices, see the relevant classes for these devices)..
F01C0013020000;for driving hand-held tools or the like
F01C0013040000;for driving pumps or compressors
F01C0017000000;Arrangements for drive of co-operating members, e.g. for rotary piston and casing
F01C0017020000;of toothed-gearing type (F01C0001077000 takes precedence)..
F01C0017040000;of cam-and-follower type (F01C0001067000 takes precedence)..
F01C0017060000;using cranks, universal joints, or similar elements (F01C0001070000 takes precedence)..
F01C0019000000;Sealing arrangements in rotary-piston machines or engines (sealings in general F16J)
F01C0019020000;Radially-movable sealings for working fluids
F01C0019040000;of rigid material
F01C0019060000;of resilient material
F01C0019080000;Axially-movable sealings for working fluids
F01C0019100000;Sealings for working fluids between radially and axially movable parts
F01C0019120000;for other than working fluid
F01C0020000000;Control of, monitoring of, or safety arrangements for, machines or engines
F01C0020020000;specially adapted for several machines or engines connected in series or in parallel
F01C0020040000;specially adapted for reversible machines or engines
F01C0020060000;specially adapted for stopping, starting, idling or no-load operation
F01C0020080000;characterised by varying the rotational speed
F01C0020100000;characterised by changing the positions of the inlet or outlet openings with respect to the working chamber
F01C0020120000;using sliding valves
F01C0020140000;using rotating valves
F01C0020160000;using lift valves
F01C0020180000;characterised by varying the volume of the working chamber (by changing the positions of inlet or outlet openings F01C0020100000)
F01C0020200000;by changing the form of the inner or outer contour of the working chamber
F01C0020220000;by changing the eccentricity between cooperating members
F01C0020240000;characterised by using valves regulating pressure or flow rate, e.g. discharge valves (F01C0020100000 takes precedence)..
F01C0020260000;using bypass channels
F01C0020280000;Safety arrangements. Monitoring
F01C0021000000;Component parts, details, or accessories, not provided for in groups . F01C0001000000-F01C0020000000
F01C0021020000;Arrangements of bearings (bearing constructions F16C)
F01C0021040000;Lubrication (of machines or engines in general F01M)
F01C0021060000;Heating. Cooling (of machines or engines in general F01P). Heat insulation (heat insulation in general F16L)
F01C0021080000;Rotary pistons (reciprocating pistons in general F16J)
F01C0021100000;Outer members for co-operation with rotary pistons. Casings (casings for rotary engines or machines in general F16M)
F01C0021180000;Arrangements for admission or discharge of the working fluid, e.g. constructional features of the inlet or outlet
F01D;NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, e.g. STEAM TURBINES (combustion engines F02. machines or engines for liquids F03, F04. non-positive-displacement pumps F04D)
F01D0001000000;Non-positive-displacement machines or engines, e.g. steam turbines (with working-fluid flows in opposite axial directions for balancing axial thrust F01D0003020000. with other than pure rotation F01D0023000000. turbines characterised by their use in special steam systems, cycles, or processes, regulating devices therefor F01K)
F01D0001020000;with stationary working-fluid guiding means and bladed or like rotor (F01D0001240000 takes precedence.without working-fluid guiding means F01D0001180000)
F01D0001040000;traversed by the working-fluid substantially axially
F01D0001060000;traversed by the working-fluid substantially radially
F01D0001080000;having inward flow
F01D0001100000;having two or more stages subjected to working-fluid flow without essential intermediate pressure change, i.e. with velocity stages (F01D0001120000 takes precedence)..
F01D0001120000;with repeated action on same blade ring
F01D0001140000;traversed by the working-fluid substantially radially
F01D0001160000;characterised by having both reaction stages and impulse stages
F01D0001180000;without working-fluid guiding means (F01D0001240000, F01D0001320000, F01D0001340000 take precedence)..
F01D0001200000;traversed by the working-fluid substantially axially
F01D0001220000;traversed by the working-fluid substantially radially
F01D0001240000;characterised by counter-rotating rotors subjected to same working-fluid stream without intermediate stator blades or the like
F01D0001260000;traversed by the working-fluid substantially axially
F01D0001280000;traversed by the working-fluid substantially radially
F01D0001300000;characterised by having a single rotor operable in either direction of rotation, e.g. by reversing of blades (combinations of machines or engines F01D0013000000)
F01D0001320000;with pressure/velocity transformation exclusively in rotor, e.g. the rotor rotating under the influence of jets issuing from the rotor
F01D0001340000;characterised by non-bladed rotor, e.g. with drilled holes (F01D0001320000 takes precedence.sirens G10K0007000000)
F01D0001360000;using fluid friction
F01D0001380000;of the screw type
F01D0003000000;Machines or engines with axial-thrust balancing effected by working fluid
F01D0003020000;characterised by having one fluid flow in one axial direction and another fluid flow in the opposite direction
F01D0003040000;axial thrust being compensated by thrust-balancing dummy piston or the like
F01D0005000000;Blades. Blade-carrying members (nozzle boxes F01D0009020000). Heating, heat-insulating, cooling, or antivibration means on the blades or the members
F01D0005020000;Blade-carrying members, e.g. rotors (rotors of non-bladed type F01D0001340000. stators F01D0009000000)
F01D0005030000;Annular blade-carrying members having blades on the inner periphery of the annulus and extending inwardly radially, i.e. inverted rotors
F01D0005040000;for radial-flow machines or engines
F01D0005060000;Rotors for more than one axial stage, e.g. of drum or multiple-disc type. Details thereof, e.g. shafts, shaft connections
F01D0005080000;Heating, heat-insulating, or cooling means
F01D0005100000;Antivibration means
F01D0005120000;Blades (blade roots F01D0005300000. rotors with blades adjustable in operation F01D0007000000. stator blades F01D0009020000)
F01D0005140000;Form or construction (selecting particular materials, measures against erosion or corrosion F01D0005280000)
F01D0005160000;for counteracting blade vibration
F01D0005180000;Hollow blades. Heating, heat-insulating, or cooling means on blades
F01D0005200000;Specially-shaped blade tips to seal space between tips and stator
F01D0005220000;Blade-to-blade connections, e.g. by shrouding
F01D0005240000;using wire or the like
F01D0005260000;Antivibration means not restricted to blade form or construction or to blade-to-blade connections
F01D0005280000;Selecting particular materials. Measures against erosion or corrosion
F01D0005300000;Fixing blades to rotors. Blade roots
F01D0005320000;Locking, e.g. by final locking-blades or keys
F01D0005340000;Rotor-blade aggregates of unitary construction
F01D0007000000;Rotors with blades adjustable in operation. Control thereof (for reversing F01D0001300000)
F01D0007020000;having adjustment responsive to speed
F01D0009000000;Stators (non-fluid guiding aspects of casings, regulating, controlling, or safety aspects, see the relevant groups)..
F01D0009020000;Nozzles. Nozzle boxes. Stator blades. Guide conduits
F01D0009040000;forming ring or sector
F01D0009060000;Fluid supply conduits to nozzles or the like
F01D0011000000;Preventing or minimising internal leakage of working fluid, e.g. between stages (sealings in general F16J)
F01D0011020000;by non-contact sealings, e.g. of labyrinth type (for sealing space between rotor blade tips and stator F01D0011080000)
F01D0011040000;using sealing fluid, e.g. steam
F01D0011060000;Control thereof
F01D0011080000;for sealing space between rotor blade tips and stator (specially-shaped blade tips therefor F01D0005200000)
F01D0011100000;using sealing fluid, e.g. steam
F01D0011120000;using a rubstrip, e.g. erodible, deformable or resiliently biased part
F01D0011140000;Adjusting or regulating tip-clearance, i.e. distance between rotor-blade tips and stator casing (rotors with blades adjustable in operation F01D0007000000)
F01D0011160000;by self-adjusting means (F01D0011120000 takes precedence)..
F01D0011180000;using stator or rotor components with predetermined thermal response, e.g. selective insulation, thermal inertia, differential expansion
F01D0011200000;Actively adjusting tip-clearance
F01D0011220000;by mechanically actuating the stator or rotor components, e.g. moving shroud sections relative to the rotor
F01D0011240000;by selectively cooling or heating stator or rotor components
F01D0013000000;Combinations of two or more machines or engines (F01D0015000000 takes precedence.combinations of two or more pumps F04. fluid gearing F16H. regulating or controlling, see the relevant groups).
F01D0013020000;Working-fluid interconnection of machines or engines
F01D0015000000;Adaptations of machines or engines for special use. Combinations of engines with devices driven thereby (regulating or controlling, see the relevant groups.aspects predominantly concerning driven devices, see the relevant classes for the devices).
F01D0015020000;Adaptations for driving vehicles, e.g. locomotives (arrangement in vehicles, see the relevant vehicle classes)..
F01D0015040000;the vehicles being waterborne vessels
F01D0015060000;Adaptations for driving, or combinations with, hand-held tools or the like
F01D0015080000;Adaptations for driving, or combinations with, pumps
F01D0015100000;Adaptations for driving, or combinations with, electric generators
F01D0015120000;Combinations with mechanical gearing (driven by multiple engines F01D0013000000)
F01D0017000000;Regulating or controlling by varying flow (for reversing F01D0001300000. by varying rotor blade position F01D0007000000. specially for starting F01D0019000000. shutting-down F01D0021000000. regulating or controlling in general G05)
F01D0017020000;Arrangement of sensing elements (sensing elements per se, see the relevant subclasses)..
F01D0017040000;responsive to load
F01D0017060000;responsive to speed
F01D0017080000;responsive to condition of working fluid, e.g. pressure
F01D0017100000;Final actuators (valves in general F16K)
F01D0017120000;arranged in stator parts
F01D0017140000;varying effective cross-sectional area of nozzles or guide conduits
F01D0017160000;by means of nozzle vanes
F01D0017180000;varying effective number of nozzles or guide conduits
F01D0017200000;Devices dealing with sensing elements or final actuators or transmitting means between them, e.g. power-assisted (sensing elements alone F01D0017020000. final actuators alone F01D0017100000)
F01D0017220000;the operation or power assistance being predominantly non-mechanical
F01D0017240000;electrical
F01D0017260000;fluid, e.g. hydraulic
F01D0019000000;Starting of machines or engines. Regulating, controlling, or safety means in connection therewith (warming-up before starting F01D0025100000. turning or inching gear F01D0025340000)
F01D0019020000;dependent on temperature of component parts, e.g. of turbine casing
F01D0021000000;Shutting-down of machines or engines, e.g. in emergency. Regulating, controlling, or safety means not otherwise provided for
F01D0021020000;Shutting-down responsive to overspeed
F01D0021040000;responsive to undesired position of rotor relative to stator, e.g. indicating such position
F01D0021060000;Shutting-down
F01D0021080000;Restoring position
F01D0021100000;responsive to unwanted deposits on blades, in working-fluid conduits, or the like
F01D0021120000;responsive to temperature
F01D0021140000;responsive to other specific conditions
F01D0021160000;Trip gear
F01D0021180000;involving hydraulic means
F01D0021200000;Checking operation of shut-down devices
F01D0023000000;Non-positive-displacement machines or engines with movement other than pure rotation, e.g. of endless-chain type
F01D0025000000;Component parts, details, or accessories, not provided for in, or of interest apart from, other groups
F01D0025020000;De-icing means for engines having icing phenomena
F01D0025040000;Antivibration arrangements
F01D0025060000;for preventing blade vibration (means on blade-carrying members or blades F01D0005000000)
F01D0025080000;Cooling (of machines or engines in general F01P). Heating. Heat insulation (of blade-carrying members, of blades F01D0005000000)
F01D0025100000;Heating, e.g. warming-up before starting
F01D0025120000;Cooling
F01D0025140000;Casings modified therefor (double casings F01D0025260000)
F01D0025160000;Arrangement of bearings. Supporting or mounting bearings in casings (bearings per seF16C)
F01D0025180000;Lubricating arrangements (of machines or engines in general F01M)
F01D0025200000;using lubrication pumps
F01D0025220000;using working fluid or other gaseous fluid as lubricant
F01D0025240000;Casings (modified for heating or cooling F01D0025140000). Casing parts, e.g. diaphragms, casing fastenings (casings for rotary machines or engines in general F16M)
F01D0025260000;Double casings. Measures against temperature strain in casings
F01D0025280000;Supporting or mounting arrangements, e.g. for turbine casing
F01D0025300000;Exhaust heads, chambers, or the like
F01D0025320000;Collecting of condensation water. Drainage
F01D0025340000;Turning or inching gear
F01D0025360000;using electric motors
F01K;STEAM ENGINE PLANTS. STEAM ACCUMULATORS. ENGINE PLANTS NOT OTHERWISE PROVIDED FOR. ENGINES USING SPECIAL WORKING FLUIDS OR CYCLES (gas-turbine or jet-propulsion plants F02. steam generation F22. nuclear power plants, engine arrangements therein G21D)
F01K0001000000;Steam accumulators (use of accumulators in steam engine plants F01K0003000000)
F01K0001020000;for storing steam otherwise than in a liquid
F01K0001040000;for storing steam in a liquid, e.g. Ruth type (in alkali to increase steam pressure F22B0001200000)
F01K0001060000;Internal fittings facilitating steam distribution, steam formation, or circulation (acting during charging or discharging F01K0001080000. fittings facilitating circulation through multiple accumulators F01K0001140000)
F01K0001080000;Charging or discharging of accumulators with steam (peculiar to multiple accumulators F01K0001120000)
F01K0001100000;specially adapted for superheated steam
F01K0001120000;Multiple accumulators. Charging, discharging, or regulating peculiar thereto
F01K0001140000;Circulation
F01K0001160000;Other safety or regulating means
F01K0001180000;for steam pressure
F01K0001200000;Other steam-accumulator parts, details, or accessories
F01K0003000000;Steam engine plants
F01K0003000000;Plants characterised by the use of steam or heat accumulators, or intermediate steam heaters, therein (regenerating exhaust steam F01K0019000000)
F01K0003020000;Use of accumulators and specific engine types. Regulating thereof
F01K0003040000;the engine being of multiple-inlet-pressure type
F01K0003060000;the engine being of extraction or non-condensing type
F01K0003080000;Use of accumulators, the plant being specially adapted for a specific use
F01K0003100000;for vehicle drive, e.g. for accumulator locomotives
F01K0003120000;having two or more accumulators
F01K0003140000;having both steam accumulator and heater, e.g. superheating accumulator (steam superheaters per seF22G)
F01K0003160000;Mutual arrangement of accumulator and heater
F01K0003180000;having heaters (having both steam accumulator and heater F01K0003140000. steam heaters per seF22)
F01K0003200000;with heating by combustion gases of main boiler
F01K0003220000;Controlling, e.g. starting, stopping
F01K0003240000;with heating by separately-fired heaters
F01K0003260000;with heating by steam
F01K0005000000;Plants characterised by use of means for storing steam in an alkali to increase steam pressure, e.g. of Honigmann or Koenemann type
F01K0005020000;used in regenerative installation
F01K0007000000;Steam engine plants characterised by the use of specific types of engine (F01K0003020000 takes precedence)..Plants or engines characterised by their use of special steam systems, cycles, or processes (reciprocating-piston engines using uniflow principle F01B0017040000). Regulating means peculiar to such systems, cycles, or processes. Use of withdrawn or exhaust steam for feed-water heating
F01K0007020000;the engines being of multiple-expansion type (the engines being only of turbine type F01K0007160000. the engines using steam of critical or over-critical pressure F01K0007320000. the engines being of extraction or non-condensing type F01K0007340000)
F01K0007040000;Regulating means peculiar thereto
F01K0007060000;the engines being of multiple-inlet-pressure type (F01K0007020000 takes precedence.the engines being only of turbine type F01K0007160000. the engines using steam of critical or over-critical pressure F01K0007320000. the engines being of extraction or non-condensing type F01K0007340000)
F01K0007080000;Regulating means peculiar thereto
F01K0007100000;characterised by the engine exhaust pressure (the engines being only of turbine type F01K0007160000. the engines using steam of critical or over-critical pressure F01K0007320000. the engines being of extraction or non-condensing type F01K0007340000)
F01K0007120000;of condensing type
F01K0007140000;Regulating means peculiar thereto
F01K0007160000;the engines being only of turbine type (the engines using steam of critical or over-critical pressure F01K0007320000. the engines being of extraction or non-condensing type F01K0007340000)
F01K0007180000;the turbine being of multiple-inlet-pressure type
F01K0007200000;Regulating means peculiar thereto
F01K0007220000;the turbines having inter-stage steam heating
F01K0007240000;Regulating or safety means peculiar thereto
F01K0007260000;the turbines having inter-stage steam accumulation
F01K0007280000;Regulating means peculiar thereto
F01K0007300000;the turbines using exhaust steam only
F01K0007320000;the engines using steam of critical or over-critical pressure
F01K0007340000;the engines being of extraction or non-condensing type. Use of steam for feed-water heating (feed-water heaters in general F22D)
F01K0007360000;the engines being of positive-displacement type
F01K0007380000;the engines being of turbine type
F01K0007400000;Use of two or more feed-water heaters in series
F01K0007420000;Use of desuperheaters for feed-water heating
F01K0007440000;Use of steam for feed-water heating and another purpose
F01K0009000000;Steam engine plants characterised by condensers arranged or modified to co-operate with the engines (by condensers structurally combined with engines F01K0011000000. steam condensers per seF28B)
F01K0009020000;Arrangements or modifications of condensate or air pumps
F01K0009040000;with dump valves to by-pass stages
F01K0011000000;Steam engine plants characterised by the engines being structurally combined with boilers or condensers
F01K0011020000;the engines being turbines
F01K0011040000;the boilers or condensers being rotated in use
F01K0013000000;General layout or general methods of operation, of complete steam engine plants
F01K0013020000;Regulating, e.g. stopping or starting
F01K0015000000;Adaptations of steam engine plants for special use
F01K0015020000;for driving vehicles, e.g. locomotives (arrangements in vehicles, see the relevant vehicle classes)..
F01K0015040000;the vehicles being waterborne vessels
F01K0017000000;Use of steam or condensate extracted or exhausted from steam engine plant (for heating feed-water F01K0007340000. returning condensate to boiler F22D)
F01K0017020000;for heating purposes, e.g. industrial, domestic (F01K0017060000 takes precedence.domestic- or space-heating systems, e.g. central-heating systems, in general F24D0001000000, F24D0003000000, F24D0009000000)
F01K0017040000;for specific purposes other than heating (F01K0017060000 takes precedence)..
F01K0017060000;Returning energy of steam, in exchanged form, to process, e.g. use of exhaust steam for drying solid fuel of plant
F01K0019000000;Regenerating or otherwise treating steam exhaust from steam engine plant (plants characterised by use of means for storing steam in an alkali to increase steam pressure F01K0005000000. returning condensate to boiler F22D)
F01K0019020000;Regenerating by compression
F01K0019040000;in combination with cooling or heating
F01K0019060000;in engine cylinder
F01K0019080000;compression done by injection apparatus, jet blower, or the like
F01K0019100000;Cooling exhaust steam other than by condenser. Rendering exhaust steam invisible
F01K0021000000;Steam engine plants not otherwise provided for
F01K0021020000;with steam generation in engine cylinders
F01K0021040000;using mixtures of steam and gas. Plants generating or heating steam by bringing water or steam into direct contact with hot gas (direct-contact steam generators in general F22B)
F01K0021060000;Treating live steam, other than thermodynamically, e.g. for fighting deposits in engine
F01K0023000000;Plants characterised by more than one engine delivering power external to the plant, the engines being driven by different fluids
F01K0023020000;the engine cycles being thermally coupled
F01K0023040000;condensation heat from one cycle heating the fluid in another cycle
F01K0023060000;combustion heat from one cycle heating the fluid in another cycle
F01K0023080000;with working fluid of one cycle heating the fluid in another cycle
